datetime,MA2301
2022-01-18,2790.0
2022-01-19,2836.0
2022-01-20,2824.0
2022-01-21,2853.0
2022-01-24,2821.0
2022-01-25,2818.0
2022-01-26,2859.0
2022-01-27,2865.0
2022-01-28,2855.0
2022-02-07,3001.0
2022-02-08,2994.0
2022-02-09,2885.0
2022-02-10,2868.0
2022-02-11,2804.0
2022-02-14,2829.0
2022-02-15,2831.0
2022-02-16,2823.0
2022-02-17,2762.0
2022-02-18,2821.0
2022-02-21,2813.0
2022-02-22,2825.0
2022-02-23,2861.0
2022-02-24,2885.0
2022-02-25,2802.0
2022-02-28,2914.0
2022-03-01,2961.0
2022-03-02,3041.0
2022-03-03,3150.0
2022-03-04,3073.0
2022-03-07,3275.0
2022-03-08,3251.0
2022-03-09,3283.0
2022-03-10,3149.0
2022-03-11,3175.0
2022-03-14,3060.0
2022-03-15,2992.0
2022-03-16,3023.0
2022-03-17,3001.0
2022-03-18,3090.0
2022-03-21,3122.0
2022-03-22,3132.0
2022-03-23,3120.0
2022-03-24,3098.0
2022-03-25,3173.0
2022-03-28,3188.0
2022-03-29,3181.0
2022-03-30,3165.0
2022-03-31,3079.0
2022-04-01,3025.0
2022-04-06,3085.0
2022-04-07,3041.0
2022-04-08,2998.0
2022-04-11,2934.0
2022-04-12,2958.0
2022-04-13,2955.0
2022-04-14,2984.0
2022-04-15,2950.0
2022-04-18,3058.0
2022-04-19,3046.0
2022-04-20,3028.0
2022-04-21,3005.0
2022-04-22,2951.0
2022-04-25,2776.0
2022-04-26,2798.0
2022-04-27,2765.0
2022-04-28,2774.0
2022-04-29,2793.0
2022-05-05,2871.0
2022-05-06,2856.0
2022-05-09,2769.0
2022-05-10,2740.0
2022-05-11,2781.0
2022-05-12,2801.0
2022-05-13,2833.0
2022-05-16,2840.0
2022-05-17,2845.0
2022-05-18,2772.0
2022-05-19,2799.0
2022-05-20,2802.0
2022-05-23,2885.0
2022-05-24,2810.0
2022-05-25,2818.0
2022-05-26,2872.0
2022-05-27,2887.0
2022-05-30,2878.0
2022-05-31,2926.0
2022-06-01,2972.0
2022-06-02,2957.0
2022-06-06,2960.0
2022-06-07,2982.0
2022-06-08,3053.0
2022-06-09,3012.0
2022-06-10,3033.0
2022-06-13,3049.0
2022-06-14,3043.0
2022-06-15,2957.0
2022-06-16,2924.0
2022-06-17,2872.0
2022-06-20,2786.0
2022-06-21,2792.0
2022-06-22,2759.0
2022-06-23,2752.0
2022-06-24,2652.0
2022-06-27,2691.0
2022-06-28,2738.0
2022-06-29,2738.0
2022-06-30,2738.0
2022-07-01,2658.0
2022-07-04,2660.0
2022-07-05,2659.0
2022-07-06,2594.0
2022-07-07,2618.0
2022-07-08,2584.0
2022-07-11,2513.0
2022-07-12,2433.0
2022-07-13,2428.0
2022-07-14,2417.0
2022-07-15,2387.0
2022-07-18,2481.0
2022-07-19,2428.0
2022-07-20,2489.0
2022-07-21,2479.0
2022-07-22,2512.0
2022-07-25,2478.0
2022-07-26,2530.0
2022-07-27,2496.0
2022-07-28,2613.0
2022-07-29,2636.0
2022-08-01,2604.0
2022-08-02,2617.0
2022-08-03,2596.0
2022-08-04,2561.0
2022-08-05,2528.0
2022-08-08,2605.0
2022-08-09,2557.0
2022-08-10,2468.0
2022-08-11,2489.0
2022-08-12,2496.0
2022-08-15,2518.0
2022-08-16,2501.0
2022-08-17,2412.0
2022-08-18,2420.0
2022-08-19,2442.0
2022-08-22,2488.0
2022-08-23,2515.0
2022-08-24,2529.0
2022-08-25,2557.0
2022-08-26,2621.0
2022-08-29,2584.0
2022-08-30,2589.0
2022-08-31,2574.0
2022-09-01,2566.0
2022-09-02,2585.0
2022-09-05,2621.0
2022-09-06,2704.0
2022-09-07,2674.0
