datetime,A2201
2021-01-18,5301.0
2021-01-19,5401.0
2021-01-20,5349.0
2021-01-21,5402.0
2021-01-22,5352.0
2021-01-25,5245.0
2021-01-26,5230.0
2021-01-27,5272.0
2021-01-28,5306.0
2021-01-29,5305.0
2021-02-01,5287.0
2021-02-02,5281.0
2021-02-03,5314.0
2021-02-04,5300.0
2021-02-05,5350.0
2021-02-08,5347.0
2021-02-09,5400.0
2021-02-10,5386.0
2021-02-18,5446.0
2021-02-19,5429.0
2021-02-22,5435.0
2021-02-23,5437.0
2021-02-24,5469.0
2021-02-25,5468.0
2021-02-26,5459.0
2021-03-01,5465.0
2021-03-02,5500.0
2021-03-03,5632.0
2021-03-04,5608.0
2021-03-05,5586.0
2021-03-08,5795.0
2021-03-09,5742.0
2021-03-10,5638.0
2021-03-11,5573.0
2021-03-12,5622.0
2021-03-15,5641.0
2021-03-16,5642.0
2021-03-17,5616.0
2021-03-18,5536.0
2021-03-19,5533.0
2021-03-22,5580.0
2021-03-23,5632.0
2021-03-24,5657.0
2021-03-25,5646.0
2021-03-26,5530.0
2021-03-29,5567.0
2021-03-30,5580.0
2021-03-31,5567.0
2021-04-01,5688.0
2021-04-02,5655.0
2021-04-06,5565.0
2021-04-07,5605.0
2021-04-08,5597.0
2021-04-09,5585.0
2021-04-12,5572.0
2021-04-13,5668.0
2021-04-14,5700.0
2021-04-15,5703.0
2021-04-16,5733.0
2021-04-19,5723.0
2021-04-20,5733.0
2021-04-21,5727.0
2021-04-22,5885.0
2021-04-23,5885.0
2021-04-26,5915.0
2021-04-27,5911.0
2021-04-28,5922.0
2021-04-29,5915.0
2021-04-30,5816.0
2021-05-06,6060.0
2021-05-07,6091.0
2021-05-10,6119.0
2021-05-11,6173.0
2021-05-12,6264.0
2021-05-13,6248.0
2021-05-14,6202.0
2021-05-17,6206.0
2021-05-18,6201.0
2021-05-19,6124.0
2021-05-20,6012.0
2021-05-21,5947.0
2021-05-24,5895.0
2021-05-25,5901.0
2021-05-26,5777.0
2021-05-27,5731.0
2021-05-28,5758.0
2021-05-31,5760.0
2021-06-01,5846.0
2021-06-02,5903.0
2021-06-03,5932.0
2021-06-04,5930.0
2021-06-07,5959.0
2021-06-08,5876.0
2021-06-09,5838.0
2021-06-10,5762.0
2021-06-11,5763.0
2021-06-15,5688.0
2021-06-16,5656.0
2021-06-17,5722.0
2021-06-18,5660.0
2021-06-21,5710.0
2021-06-22,5770.0
2021-06-23,5808.0
2021-06-24,5686.0
2021-06-25,5674.0
2021-06-28,5649.0
2021-06-29,5604.0
2021-06-30,5632.0
2021-07-01,5724.0
2021-07-02,5806.0
2021-07-05,5886.0
2021-07-06,5928.0
2021-07-07,5915.0
2021-07-08,5940.0
2021-07-09,5965.0
2021-07-12,5980.0
2021-07-13,5966.0
2021-07-14,5948.0
2021-07-15,5871.0
2021-07-16,5984.0
2021-07-19,5761.0
2021-07-20,5755.0
2021-07-21,5718.0
2021-07-22,5691.0
2021-07-23,5745.0
2021-07-26,5759.0
2021-07-27,5806.0
2021-07-28,5808.0
2021-07-29,5778.0
2021-07-30,5741.0
2021-08-02,5771.0
2021-08-03,5852.0
2021-08-04,5877.0
2021-08-05,5855.0
2021-08-06,5850.0
2021-08-09,5727.0
2021-08-10,5721.0
2021-08-11,5770.0
2021-08-12,5675.0
2021-08-13,5680.0
2021-08-16,5859.0
2021-08-17,5857.0
2021-08-18,5838.0
2021-08-19,5844.0
2021-08-20,5662.0
2021-08-23,5683.0
2021-08-24,5829.0
2021-08-25,5876.0
2021-08-26,5898.0
2021-08-27,5880.0
2021-08-30,5768.0
2021-08-31,5775.0
2021-09-01,5733.0
2021-09-02,5769.0
2021-09-03,5871.0
2021-09-06,5864.0
2021-09-07,5839.0
2021-09-08,5840.0
2021-09-09,5893.0
2021-09-10,5915.0
2021-09-13,5934.0
2021-09-14,5897.0
2021-09-15,5869.0
2021-09-16,5945.0
2021-09-17,5964.0
2021-09-22,5976.0
2021-09-23,6037.0
2021-09-24,6073.0
2021-09-27,5930.0
2021-09-28,5938.0
2021-09-29,5952.0
2021-09-30,5936.0
2021-10-08,6140.0
2021-10-11,6179.0
2021-10-12,6193.0
2021-10-13,6145.0
2021-10-14,6048.0
2021-10-15,6070.0
2021-10-18,6048.0
2021-10-19,6010.0
2021-10-20,6004.0
2021-10-21,6165.0
2021-10-22,6145.0
2021-10-25,6209.0
2021-10-26,6170.0
2021-10-27,6167.0
2021-10-28,6143.0
2021-10-29,6244.0
2021-11-01,6282.0
2021-11-02,6274.0
2021-11-03,6320.0
2021-11-04,6423.0
2021-11-05,6508.0
2021-11-08,6353.0
2021-11-09,6362.0
2021-11-10,6478.0
2021-11-11,6463.0
2021-11-12,6438.0
2021-11-15,6390.0
2021-11-16,6409.0
2021-11-17,6288.0
2021-11-18,6367.0
2021-11-19,6286.0
2021-11-22,6262.0
2021-11-23,6185.0
2021-11-24,6198.0
2021-11-25,6191.0
2021-11-26,6208.0
2021-11-29,6095.0
2021-11-30,6099.0
2021-12-01,6127.0
2021-12-02,6093.0
2021-12-03,6101.0
2021-12-06,6056.0
2021-12-07,6095.0
2021-12-08,6040.0
2021-12-09,6094.0
2021-12-10,6061.0
2021-12-13,6066.0
2021-12-14,6037.0
2021-12-15,6042.0
2021-12-16,6095.0
2021-12-17,6083.0
2021-12-20,6125.0
2021-12-21,6106.0
2021-12-22,6077.0
2021-12-23,6079.0
2021-12-24,6076.0
2021-12-27,6060.0
2021-12-28,6067.0
2021-12-29,6004.0
2021-12-30,5969.0
2021-12-31,5935.0
2022-01-04,5930.0
2022-01-05,5908.0
2022-01-06,5960.0
2022-01-07,5956.0
2022-01-10,5954.0
2022-01-11,5960.0
2022-01-12,5960.0
2022-01-13,5920.0
2022-01-14,5916.0
2022-01-17,5925.0
