datetime,L1905
2018-05-16,9325.0
2018-05-17,9235.0
2018-05-18,9250.0
2018-05-21,9280.0
2018-05-22,9235.0
2018-05-23,9190.0
2018-05-24,9145.0
2018-05-25,9125.0
2018-05-28,9085.0
2018-05-29,9140.0
2018-05-30,9105.0
2018-05-31,9085.0
2018-06-01,9175.0
2018-06-04,9160.0
2018-06-05,9165.0
2018-06-06,9135.0
2018-06-07,9170.0
2018-06-08,9200.0
2018-06-11,9230.0
2018-06-12,9245.0
2018-06-13,9155.0
2018-06-14,9120.0
2018-06-15,9120.0
2018-06-19,8990.0
2018-06-20,9025.0
2018-06-21,8950.0
2018-06-22,8855.0
2018-06-25,8910.0
2018-06-26,8950.0
2018-06-27,8965.0
2018-06-28,8985.0
2018-06-29,9100.0
2018-07-02,9080.0
2018-07-03,9105.0
2018-07-04,9120.0
2018-07-05,9030.0
2018-07-06,9015.0
2018-07-09,9055.0
2018-07-10,9105.0
2018-07-11,9085.0
2018-07-12,9155.0
2018-07-13,9180.0
2018-07-16,9150.0
2018-07-17,9135.0
2018-07-18,9130.0
2018-07-19,9130.0
2018-07-20,9190.0
2018-07-23,9200.0
2018-07-24,9280.0
2018-07-25,9285.0
2018-07-26,9295.0
2018-07-27,9295.0
2018-07-30,9335.0
2018-07-31,9295.0
2018-08-01,9315.0
2018-08-02,9375.0
2018-08-03,9480.0
2018-08-06,9555.0
2018-08-07,9595.0
2018-08-08,9655.0
2018-08-09,9655.0
2018-08-10,9640.0
2018-08-13,9635.0
2018-08-14,9695.0
2018-08-15,9680.0
2018-08-16,9665.0
2018-08-17,9560.0
2018-08-20,9580.0
2018-08-21,9530.0
2018-08-22,9590.0
2018-08-23,9545.0
2018-08-24,9495.0
2018-08-27,9525.0
2018-08-28,9495.0
2018-08-29,9435.0
2018-08-30,9455.0
2018-08-31,9330.0
2018-09-03,9220.0
2018-09-04,9265.0
2018-09-05,9230.0
2018-09-06,9255.0
2018-09-07,9220.0
2018-09-10,9260.0
2018-09-11,9180.0
2018-09-12,9205.0
2018-09-13,9220.0
2018-09-14,9250.0
2018-09-17,9270.0
2018-09-18,9315.0
2018-09-19,9335.0
2018-09-20,9385.0
2018-09-21,9355.0
2018-09-25,9385.0
2018-09-26,9235.0
2018-09-27,9200.0
2018-09-28,9200.0
2018-10-08,9335.0
2018-10-09,9540.0
2018-10-10,9420.0
2018-10-11,9275.0
2018-10-12,9305.0
2018-10-15,9265.0
2018-10-16,9170.0
2018-10-17,9165.0
2018-10-18,9170.0
2018-10-19,9140.0
2018-10-22,9175.0
2018-10-23,9170.0
2018-10-24,9155.0
2018-10-25,9045.0
2018-10-26,9035.0
2018-10-29,8950.0
2018-10-30,8870.0
2018-10-31,8835.0
2018-11-01,8710.0
2018-11-02,8765.0
2018-11-05,8780.0
2018-11-06,8750.0
2018-11-07,8715.0
2018-11-08,8715.0
2018-11-09,8610.0
2018-11-12,8510.0
