datetime,CF2101
2020-02-10,14015.0
2020-02-11,14050.0
2020-02-12,13985.0
2020-02-13,13990.0
2020-02-14,13980.0
2020-02-17,14500.0
2020-02-18,14155.0
2020-02-19,14225.0
2020-02-20,14285.0
2020-02-21,14215.0
2020-02-24,13915.0
2020-02-25,14000.0
2020-02-26,13790.0
2020-02-27,13585.0
2020-02-28,13110.0
2020-03-02,13360.0
2020-03-03,13490.0
2020-03-04,13465.0
2020-03-05,13730.0
2020-03-06,13560.0
2020-03-09,13120.0
2020-03-10,13390.0
2020-03-11,13270.0
2020-03-12,13100.0
2020-03-13,12760.0
2020-03-16,12450.0
2020-03-17,12575.0
2020-03-18,12530.0
2020-03-19,12060.0
2020-03-20,12005.0
2020-03-23,11535.0
2020-03-24,11445.0
2020-03-25,11745.0
2020-03-26,11715.0
2020-03-27,11825.0
2020-03-30,11485.0
2020-03-31,11615.0
2020-04-01,11390.0
2020-04-02,11520.0
2020-04-03,11510.0
2020-04-07,11800.0
2020-04-08,12130.0
2020-04-09,12130.0
2020-04-10,12140.0
2020-04-13,11930.0
2020-04-14,12000.0
2020-04-15,11990.0
2020-04-16,11905.0
2020-04-17,11990.0
2020-04-20,12090.0
2020-04-21,11745.0
2020-04-22,11840.0
2020-04-23,12215.0
2020-04-24,12005.0
2020-04-27,12000.0
2020-04-28,11925.0
2020-04-29,11975.0
2020-04-30,12175.0
2020-05-06,11810.0
2020-05-07,12010.0
2020-05-08,12110.0
2020-05-11,12095.0
2020-05-12,12040.0
2020-05-13,12040.0
2020-05-14,12005.0
2020-05-15,12150.0
2020-05-18,12120.0
2020-05-19,12250.0
2020-05-20,12305.0
2020-05-21,12320.0
2020-05-22,12115.0
2020-05-25,12155.0
2020-05-26,12170.0
2020-05-27,12140.0
2020-05-28,12095.0
2020-05-29,12025.0
2020-06-01,12225.0
2020-06-02,12270.0
2020-06-03,12315.0
2020-06-04,12310.0
2020-06-05,12500.0
2020-06-08,12520.0
2020-06-09,12630.0
2020-06-10,12540.0
2020-06-11,12490.0
2020-06-12,12395.0
2020-06-15,12215.0
2020-06-16,12370.0
2020-06-17,12360.0
2020-06-18,12405.0
2020-06-19,12435.0
2020-06-22,12285.0
2020-06-23,12225.0
2020-06-24,12215.0
2020-06-29,12215.0
2020-06-30,12240.0
2020-07-01,12360.0
2020-07-02,12470.0
2020-07-03,12525.0
2020-07-06,12600.0
2020-07-07,12535.0
2020-07-08,12525.0
2020-07-09,12705.0
2020-07-10,12640.0
2020-07-13,12725.0
2020-07-14,12595.0
2020-07-15,12670.0
2020-07-16,12545.0
2020-07-17,12545.0
2020-07-20,12570.0
2020-07-21,12655.0
2020-07-22,12745.0
2020-07-23,12650.0
2020-07-24,12575.0
2020-07-27,12510.0
2020-07-28,12550.0
2020-07-29,12660.0
2020-07-30,12655.0
2020-07-31,12600.0
2020-08-03,12725.0
2020-08-04,12660.0
2020-08-05,12670.0
2020-08-06,12890.0
2020-08-07,12960.0
2020-08-10,12735.0
2020-08-11,12755.0
2020-08-12,12905.0
2020-08-13,12790.0
2020-08-14,12840.0
2020-08-17,12920.0
2020-08-18,12900.0
2020-08-19,12830.0
2020-08-20,12850.0
2020-08-21,12930.0
2020-08-24,12945.0
2020-08-25,12950.0
2020-08-26,12985.0
2020-08-27,12985.0
2020-08-28,13030.0
2020-08-31,13125.0
2020-09-01,13135.0
2020-09-02,13125.0
2020-09-03,13025.0
2020-09-04,12870.0
2020-09-07,12925.0
2020-09-08,12960.0
2020-09-09,12430.0
2020-09-10,12580.0
2020-09-11,12590.0
2020-09-14,12630.0
2020-09-15,12800.0
2020-09-16,12775.0
2020-09-17,12780.0
2020-09-18,12815.0
2020-09-21,12940.0
2020-09-22,12960.0
2020-09-23,12820.0
2020-09-24,12710.0
2020-09-25,12675.0
2020-09-28,12815.0
2020-09-29,12755.0
2020-09-30,12795.0
2020-10-09,13295.0
2020-10-12,13870.0
2020-10-13,14025.0
2020-10-14,14320.0
2020-10-15,14325.0
2020-10-16,14560.0
2020-10-19,14935.0
2020-10-20,14830.0
2020-10-21,14635.0
2020-10-22,14505.0
2020-10-23,14425.0
2020-10-26,14490.0
2020-10-27,14480.0
2020-10-28,14680.0
2020-10-29,14435.0
2020-10-30,14505.0
2020-11-02,14375.0
2020-11-03,14310.0
2020-11-04,14475.0
2020-11-05,14360.0
2020-11-06,14050.0
2020-11-09,14225.0
2020-11-10,14225.0
2020-11-11,14370.0
2020-11-12,14295.0
2020-11-13,14220.0
2020-11-16,14270.0
2020-11-17,14150.0
2020-11-18,14145.0
2020-11-19,14360.0
2020-11-20,14265.0
2020-11-23,14430.0
2020-11-24,14575.0
2020-11-25,14430.0
2020-11-26,14360.0
2020-11-27,14555.0
2020-11-30,14565.0
2020-12-01,14480.0
2020-12-02,14370.0
2020-12-03,14425.0
2020-12-04,14315.0
2020-12-07,14570.0
2020-12-08,14485.0
2020-12-09,14430.0
2020-12-10,14455.0
2020-12-11,14625.0
2020-12-14,14720.0
2020-12-15,14670.0
2020-12-16,14695.0
2020-12-17,14705.0
2020-12-18,14810.0
2020-12-21,14960.0
2020-12-22,14530.0
2020-12-23,14690.0
2020-12-24,14800.0
2020-12-25,14905.0
2020-12-28,14885.0
2020-12-29,14900.0
2020-12-30,15025.0
2020-12-31,15110.0
2021-01-04,15300.0
2021-01-05,15280.0
2021-01-06,15410.0
2021-01-07,15470.0
2021-01-08,15350.0
2021-01-11,15100.0
2021-01-12,15220.0
2021-01-13,15335.0
2021-01-14,14955.0
2021-01-15,14960.0
