datetime,J2105
2020-05-20,1730.0
2020-05-21,1748.5
2020-05-22,1705.0
2020-05-25,1735.0
2020-05-26,1735.0
2020-05-27,1725.0
2020-05-28,1719.5
2020-05-29,1727.0
2020-06-01,1738.0
2020-06-02,1765.5
2020-06-03,1780.0
2020-06-04,1787.0
2020-06-05,1791.5
2020-06-08,1800.5
2020-06-09,1802.0
2020-06-10,1792.0
2020-06-11,1800.5
2020-06-12,1812.5
2020-06-15,1789.0
2020-06-16,1793.0
2020-06-17,1788.5
2020-06-18,1802.0
2020-06-19,1810.0
2020-06-22,1803.0
2020-06-23,1803.0
2020-06-24,1803.0
2020-06-29,1759.0
2020-06-30,1759.0
2020-07-01,1751.5
2020-07-02,1760.5
2020-07-03,1762.0
2020-07-06,1769.5
2020-07-07,1764.5
2020-07-08,1785.5
2020-07-09,1795.0
2020-07-10,1768.0
2020-07-13,1815.0
2020-07-14,1805.0
2020-07-15,1796.5
2020-07-16,1805.0
2020-07-17,1823.0
2020-07-20,1819.5
2020-07-21,1847.5
2020-07-22,1840.0
2020-07-23,1880.0
2020-07-24,1868.0
2020-07-27,1855.0
2020-07-28,1862.0
2020-07-29,1870.0
2020-07-30,1852.5
2020-07-31,1873.0
2020-08-03,1890.0
2020-08-04,1905.0
2020-08-05,1915.5
2020-08-06,1918.0
2020-08-07,1937.5
2020-08-10,1921.0
2020-08-11,1904.0
2020-08-12,1900.0
2020-08-13,1895.0
2020-08-14,1894.0
2020-08-17,1912.0
2020-08-18,1916.0
2020-08-19,1931.0
2020-08-20,1882.0
2020-08-21,1866.0
2020-08-24,1875.0
2020-08-25,1865.5
2020-08-26,1870.5
2020-08-27,1862.0
2020-08-28,1884.0
2020-08-31,1904.0
2020-09-01,1920.0
2020-09-02,1934.5
2020-09-03,1958.0
2020-09-04,1950.5
2020-09-07,1944.0
2020-09-08,1920.5
2020-09-09,1916.0
2020-09-10,1893.0
2020-09-11,1904.5
2020-09-14,1914.0
2020-09-15,1892.5
2020-09-16,1853.5
2020-09-17,1863.5
2020-09-18,1895.0
2020-09-21,1862.0
2020-09-22,1864.5
2020-09-23,1836.0
2020-09-24,1828.0
2020-09-25,1815.0
2020-09-28,1813.5
2020-09-29,1853.0
2020-09-30,1867.5
2020-10-09,1939.0
2020-10-12,1932.0
2020-10-13,1932.0
2020-10-14,1929.0
2020-10-15,1921.0
2020-10-16,1935.0
2020-10-19,1904.5
2020-10-20,1916.5
2020-10-21,1931.0
2020-10-22,1927.0
2020-10-23,1908.0
2020-10-26,1925.0
2020-10-27,1963.0
2020-10-28,1985.0
2020-10-29,1980.0
2020-10-30,1990.0
2020-11-02,2050.5
2020-11-03,2036.5
2020-11-04,2068.0
2020-11-05,2079.0
2020-11-06,2139.5
2020-11-09,2187.5
2020-11-10,2158.5
2020-11-11,2155.0
2020-11-12,2153.5
2020-11-13,2207.0
2020-11-16,2250.5
2020-11-17,2243.0
2020-11-18,2231.0
2020-11-19,2231.0
2020-11-20,2238.5
2020-11-23,2201.0
2020-11-24,2211.0
2020-11-25,2233.0
2020-11-26,2277.0
2020-11-27,2301.0
2020-11-30,2346.0
2020-12-01,2365.0
2020-12-02,2383.0
2020-12-03,2343.0
2020-12-04,2385.0
2020-12-07,2443.5
2020-12-08,2417.5
2020-12-09,2484.5
2020-12-10,2518.0
2020-12-11,2512.5
2020-12-14,2466.0
2020-12-15,2533.5
2020-12-16,2554.5
2020-12-17,2587.5
2020-12-18,2661.0
2020-12-21,2842.0
2020-12-22,2726.0
2020-12-23,2714.5
2020-12-24,2754.5
2020-12-25,2851.0
2020-12-28,2835.5
2020-12-29,2795.5
2020-12-30,2821.5
2020-12-31,2826.0
2021-01-04,2929.5
2021-01-05,2991.5
2021-01-06,2983.0
2021-01-07,2998.0
2021-01-08,2922.0
2021-01-11,2844.0
2021-01-12,2773.0
2021-01-13,2712.5
2021-01-14,2744.0
2021-01-15,2775.0
2021-01-18,2777.0
2021-01-19,2670.5
2021-01-20,2713.5
2021-01-21,2800.5
2021-01-22,2771.0
2021-01-25,2705.5
2021-01-26,2619.0
2021-01-27,2660.0
2021-01-28,2605.0
2021-01-29,2554.0
2021-02-01,2549.5
2021-02-02,2476.5
2021-02-03,2492.0
2021-02-04,2552.0
2021-02-05,2551.0
2021-02-08,2599.0
2021-02-09,2624.5
2021-02-10,2595.0
2021-02-18,2762.0
2021-02-19,2711.5
2021-02-22,2617.0
2021-02-23,2574.0
2021-02-24,2578.5
2021-02-25,2625.0
2021-02-26,2531.5
2021-03-01,2477.5
2021-03-02,2550.5
2021-03-03,2519.5
2021-03-04,2486.5
2021-03-05,2342.5
2021-03-08,2338.0
2021-03-09,2271.0
2021-03-10,2312.5
2021-03-11,2353.5
2021-03-12,2244.0
2021-03-15,2225.5
2021-03-16,2264.0
2021-03-17,2320.5
2021-03-18,2335.0
2021-03-19,2253.0
2021-03-22,2131.0
2021-03-23,2151.5
2021-03-24,2142.0
2021-03-25,2175.5
2021-03-26,2211.5
2021-03-29,2298.0
2021-03-30,2274.5
2021-03-31,2334.0
2021-04-01,2341.0
2021-04-02,2385.5
2021-04-06,2371.5
2021-04-07,2392.0
2021-04-08,2391.0
2021-04-09,2366.5
2021-04-12,2386.5
2021-04-13,2436.0
2021-04-14,2474.5
2021-04-15,2422.0
2021-04-16,2472.5
2021-04-19,2439.0
2021-04-20,2493.0
2021-04-21,2498.0
2021-04-22,2518.5
2021-04-23,2521.5
2021-04-26,2614.0
2021-04-27,2623.0
2021-04-28,2603.5
