datetime,SA2205
2021-05-20,2219.0
2021-05-21,2280.0
2021-05-24,2311.0
2021-05-25,2359.0
2021-05-26,2381.0
2021-05-27,2359.0
2021-05-28,2405.0
2021-05-31,2423.0
2021-06-01,2490.0
2021-06-02,2486.0
2021-06-03,2466.0
2021-06-04,2425.0
2021-06-07,2425.0
2021-06-08,2407.0
2021-06-09,2381.0
2021-06-10,2355.0
2021-06-11,2370.0
2021-06-15,2363.0
2021-06-16,2361.0
2021-06-17,2413.0
2021-06-18,2370.0
2021-06-21,2380.0
2021-06-22,2401.0
2021-06-23,2374.0
2021-06-24,2427.0
2021-06-25,2472.0
2021-06-28,2437.0
2021-06-29,2427.0
2021-06-30,2464.0
2021-07-01,2474.0
2021-07-02,2537.0
2021-07-05,2547.0
2021-07-06,2599.0
2021-07-07,2579.0
2021-07-08,2591.0
2021-07-09,2573.0
2021-07-12,2588.0
2021-07-13,2618.0
2021-07-14,2621.0
2021-07-15,2615.0
2021-07-16,2656.0
2021-07-19,2646.0
2021-07-20,2660.0
2021-07-21,2703.0
2021-07-22,2720.0
2021-07-23,2664.0
2021-07-26,2673.0
2021-07-27,2639.0
2021-07-28,2689.0
2021-07-29,2699.0
2021-07-30,2724.0
2021-08-02,2688.0
2021-08-03,2628.0
2021-08-04,2686.0
2021-08-05,2641.0
2021-08-06,2730.0
2021-08-09,2750.0
2021-08-10,2774.0
2021-08-11,2791.0
2021-08-12,2784.0
2021-08-13,2851.0
2021-08-16,2868.0
2021-08-17,2855.0
2021-08-18,2851.0
2021-08-19,2847.0
2021-08-20,2877.0
2021-08-23,2875.0
2021-08-24,2878.0
2021-08-25,2873.0
2021-08-26,2788.0
2021-08-27,2816.0
2021-08-30,2840.0
2021-08-31,2818.0
2021-09-01,2823.0
2021-09-02,2808.0
2021-09-03,2846.0
2021-09-06,2856.0
2021-09-07,2979.0
2021-09-08,2981.0
2021-09-09,3090.0
2021-09-10,3064.0
2021-09-13,3064.0
2021-09-14,2980.0
2021-09-15,2949.0
2021-09-16,3036.0
2021-09-17,2852.0
2021-09-22,2962.0
2021-09-23,3063.0
2021-09-24,2978.0
2021-09-27,3128.0
2021-09-28,3090.0
2021-09-29,3068.0
2021-09-30,3057.0
2021-10-08,3088.0
2021-10-11,3224.0
2021-10-12,3401.0
2021-10-13,3367.0
2021-10-14,3327.0
2021-10-15,3259.0
2021-10-18,3328.0
2021-10-19,3317.0
2021-10-20,3062.0
2021-10-21,3034.0
2021-10-22,2936.0
2021-10-25,2709.0
2021-10-26,2639.0
2021-10-27,2594.0
2021-10-28,2596.0
2021-10-29,2540.0
2021-11-01,2380.0
2021-11-02,2256.0
2021-11-03,2487.0
2021-11-04,2377.0
2021-11-05,2423.0
2021-11-08,2370.0
2021-11-09,2398.0
2021-11-10,2284.0
2021-11-11,2478.0
2021-11-12,2368.0
2021-11-15,2333.0
2021-11-16,2365.0
2021-11-17,2355.0
2021-11-18,2324.0
2021-11-19,2391.0
2021-11-22,2400.0
2021-11-23,2412.0
2021-11-24,2492.0
2021-11-25,2469.0
2021-11-26,2366.0
2021-11-29,2455.0
2021-11-30,2417.0
2021-12-01,2588.0
2021-12-02,2538.0
2021-12-03,2523.0
2021-12-06,2561.0
2021-12-07,2552.0
2021-12-08,2378.0
2021-12-09,2238.0
2021-12-10,2258.0
2021-12-13,2288.0
2021-12-14,2304.0
2021-12-15,2223.0
2021-12-16,2327.0
2021-12-17,2374.0
2021-12-20,2285.0
2021-12-21,2335.0
2021-12-22,2329.0
2021-12-23,2318.0
2021-12-24,2293.0
2021-12-27,2285.0
2021-12-28,2285.0
2021-12-29,2286.0
2021-12-30,2243.0
2021-12-31,2183.0
2022-01-04,2221.0
2022-01-05,2250.0
2022-01-06,2312.0
2022-01-07,2337.0
2022-01-10,2413.0
2022-01-11,2470.0
2022-01-12,2486.0
2022-01-13,2461.0
2022-01-14,2593.0
2022-01-17,2553.0
2022-01-18,2558.0
2022-01-19,2596.0
2022-01-20,2574.0
2022-01-21,2712.0
2022-01-24,2685.0
2022-01-25,2700.0
2022-01-26,2768.0
2022-01-27,2849.0
2022-01-28,2880.0
2022-02-07,2968.0
2022-02-08,2987.0
2022-02-09,2957.0
2022-02-10,3125.0
2022-02-11,2973.0
2022-02-14,2954.0
2022-02-15,2867.0
2022-02-16,2912.0
2022-02-17,2756.0
2022-02-18,2803.0
2022-02-21,2912.0
2022-02-22,2854.0
2022-02-23,2876.0
2022-02-24,2787.0
2022-02-25,2605.0
2022-02-28,2593.0
2022-03-01,2605.0
2022-03-02,2669.0
2022-03-03,2736.0
2022-03-04,2708.0
2022-03-07,2749.0
2022-03-08,2652.0
2022-03-09,2505.0
2022-03-10,2642.0
2022-03-11,2573.0
2022-03-14,2450.0
2022-03-15,2449.0
2022-03-16,2453.0
2022-03-17,2457.0
2022-03-18,2526.0
2022-03-21,2451.0
2022-03-22,2481.0
2022-03-23,2559.0
2022-03-24,2611.0
2022-03-25,2759.0
2022-03-28,2754.0
2022-03-29,2806.0
2022-03-30,2862.0
2022-03-31,2851.0
2022-04-01,2877.0
2022-04-06,2778.0
2022-04-07,2765.0
2022-04-08,2787.0
2022-04-11,2801.0
2022-04-12,2971.0
2022-04-13,2946.0
2022-04-14,3024.0
2022-04-15,3013.0
2022-04-18,3119.0
2022-04-19,3100.0
2022-04-20,2997.0
2022-04-21,3004.0
2022-04-22,2995.0
2022-04-25,2804.0
2022-04-26,2823.0
2022-04-27,2900.0
2022-04-28,2938.0
2022-04-29,2971.0
2022-05-05,2999.0
2022-05-06,2931.0
2022-05-09,2924.0
2022-05-10,2770.0
2022-05-11,2850.0
2022-05-12,2790.0
2022-05-13,2842.0
2022-05-16,2860.0
2022-05-17,2850.0
2022-05-18,2850.0
