datetime,PX2405
2023-09-15,9468.0
2023-09-18,9346.0
2023-09-19,9326.0
2023-09-20,9310.0
2023-09-21,9134.0
2023-09-22,9218.0
2023-09-25,9130.0
2023-09-26,8930.0
2023-09-27,8980.0
2023-09-28,9006.0
2023-10-09,8620.0
2023-10-10,8500.0
2023-10-11,8458.0
2023-10-12,8390.0
2023-10-13,8404.0
2023-10-16,8444.0
2023-10-17,8362.0
2023-10-18,8420.0
2023-10-19,8400.0
2023-10-20,8410.0
2023-10-23,8318.0
2023-10-24,8530.0
2023-10-25,8460.0
2023-10-26,8510.0
2023-10-27,8554.0
2023-10-30,8630.0
2023-10-31,8638.0
2023-11-01,8596.0
2023-11-02,8564.0
2023-11-03,8652.0
2023-11-06,8558.0
2023-11-07,8496.0
2023-11-08,8462.0
2023-11-09,8432.0
2023-11-10,8470.0
2023-11-13,8452.0
2023-11-14,8566.0
2023-11-15,8624.0
2023-11-16,8778.0
2023-11-17,8672.0
2023-11-20,8708.0
2023-11-21,8452.0
2023-11-22,8416.0
2023-11-23,8410.0
2023-11-24,8408.0
2023-11-27,8298.0
2023-11-28,8258.0
2023-11-29,8254.0
2023-11-30,8442.0
2023-12-01,8318.0
2023-12-04,8278.0
2023-12-05,8274.0
2023-12-06,8310.0
2023-12-07,8270.0
2023-12-08,8338.0
2023-12-11,8336.0
2023-12-12,8356.0
2023-12-13,8136.0
2023-12-14,8098.0
2023-12-15,8244.0
2023-12-18,8308.0
2023-12-19,8318.0
2023-12-20,8492.0
2023-12-21,8598.0
2023-12-22,8604.0
2023-12-25,8570.0
2023-12-26,8544.0
2023-12-27,8648.0
2023-12-28,8674.0
2023-12-29,8590.0
2024-01-02,8614.0
2024-01-03,8522.0
2024-01-04,8528.0
2024-01-05,8558.0
2024-01-08,8370.0
2024-01-09,8274.0
2024-01-10,8318.0
2024-01-11,8314.0
2024-01-12,8364.0
2024-01-15,8360.0
2024-01-16,8440.0
2024-01-17,8428.0
2024-01-18,8474.0
2024-01-19,8566.0
2024-01-22,8592.0
2024-01-23,8662.0
2024-01-24,8730.0
2024-01-25,8610.0
2024-01-26,8670.0
2024-01-29,8660.0
2024-01-30,8654.0
2024-01-31,8598.0
2024-02-01,8462.0
2024-02-02,8412.0
2024-02-05,8404.0
2024-02-06,8454.0
2024-02-07,8476.0
2024-02-08,8480.0
2024-02-19,8550.0
2024-02-20,8506.0
2024-02-21,8522.0
2024-02-22,8592.0
2024-02-23,8550.0
2024-02-26,8488.0
2024-02-27,8598.0
2024-02-28,8596.0
2024-02-29,8606.0
2024-03-01,8562.0
2024-03-04,8520.0
2024-03-05,8360.0
2024-03-06,8416.0
2024-03-07,8378.0
2024-03-08,8334.0
2024-03-11,8316.0
2024-03-12,8322.0
2024-03-13,8324.0
2024-03-14,8458.0
2024-03-15,8520.0
2024-03-18,8522.0
2024-03-19,8562.0
2024-03-20,8462.0
2024-03-21,8330.0
2024-03-22,8344.0
2024-03-25,8358.0
2024-03-26,8374.0
2024-03-27,8430.0
2024-03-28,8478.0
2024-03-29,8444.0
2024-04-01,8528.0
2024-04-02,8630.0
2024-04-03,8570.0
2024-04-08,8500.0
2024-04-09,8446.0
2024-04-10,8424.0
2024-04-11,8366.0
2024-04-12,8364.0
2024-04-15,8432.0
2024-04-16,8556.0
2024-04-17,8594.0
2024-04-18,8434.0
2024-04-19,8430.0
2024-04-22,8430.0
2024-04-23,8412.0
2024-04-24,8364.0
2024-04-25,8268.0
2024-04-26,8314.0
2024-04-29,8198.0
2024-04-30,8116.0
2024-05-06,8028.0
2024-05-07,8180.0
2024-05-08,8200.0
2024-05-09,7890.0
2024-05-13,8000.0
