datetime,SF2009
2019-09-17,5872.0
2019-09-18,5822.0
2019-09-19,5822.0
2019-09-20,5796.0
2019-09-23,5788.0
2019-09-24,5790.0
2019-09-25,5834.0
2019-09-26,5834.0
2019-09-27,5806.0
2019-09-30,5802.0
2019-10-08,5788.0
2019-10-09,5794.0
2019-10-10,5812.0
2019-10-11,5802.0
2019-10-14,5790.0
2019-10-15,5792.0
2019-10-16,5760.0
2019-10-17,5768.0
2019-10-18,5760.0
2019-10-21,5760.0
2019-10-22,5766.0
2019-10-24,5730.0
2019-10-25,5774.0
2019-10-28,5718.0
2019-10-29,5760.0
2019-10-30,5726.0
2019-10-31,5710.0
2019-11-01,5718.0
2019-11-04,5690.0
2019-11-05,5714.0
2019-11-06,5688.0
2019-11-07,5728.0
2019-11-08,5678.0
2019-11-11,5664.0
2019-11-12,5660.0
2019-11-13,5654.0
2019-11-14,5720.0
2019-11-15,5730.0
2019-11-18,5776.0
2019-11-19,5808.0
2019-11-20,5758.0
2019-11-21,5776.0
2019-11-22,5766.0
2019-11-25,5796.0
2019-11-26,5792.0
2019-11-27,5766.0
2019-11-28,5734.0
2019-11-29,5734.0
2019-12-02,5728.0
2019-12-03,5720.0
2019-12-04,5716.0
2019-12-05,5714.0
2019-12-06,5716.0
2019-12-09,5760.0
2019-12-10,5802.0
2019-12-11,5850.0
2019-12-12,5756.0
2019-12-13,5778.0
2019-12-16,5732.0
2019-12-17,5730.0
2019-12-18,5760.0
2019-12-19,5780.0
2019-12-20,5776.0
2019-12-23,5816.0
2019-12-24,5804.0
2019-12-25,5780.0
2019-12-26,5800.0
2019-12-27,5816.0
2019-12-30,5792.0
2019-12-31,5802.0
2020-01-02,5778.0
2020-01-03,5796.0
2020-01-06,5776.0
2020-01-07,5778.0
2020-01-08,5776.0
2020-01-09,5764.0
2020-01-10,5772.0
2020-01-13,5758.0
2020-01-14,5768.0
2020-01-15,5756.0
2020-01-16,5750.0
2020-01-17,5770.0
2020-01-20,5790.0
2020-01-21,5808.0
2020-01-22,5810.0
2020-01-23,5800.0
2020-02-03,5890.0
2020-02-04,5986.0
2020-02-05,5850.0
2020-02-06,5854.0
2020-02-07,5838.0
2020-02-10,5840.0
2020-02-11,5872.0
2020-02-12,5858.0
2020-02-13,5836.0
2020-02-14,5818.0
2020-02-17,5814.0
2020-02-18,5786.0
2020-02-19,5796.0
2020-02-20,5844.0
2020-02-21,5832.0
2020-02-24,5800.0
2020-02-25,5806.0
2020-02-26,5800.0
2020-02-27,5794.0
2020-02-28,5794.0
2020-03-02,5792.0
2020-03-03,5792.0
2020-03-04,5738.0
2020-03-05,5760.0
2020-03-06,5752.0
2020-03-09,5708.0
2020-03-10,5694.0
2020-03-11,5712.0
2020-03-12,5706.0
2020-03-13,5702.0
2020-03-16,5700.0
2020-03-17,5728.0
2020-03-18,5716.0
2020-03-19,5600.0
2020-03-20,5598.0
2020-03-23,5468.0
2020-03-24,5514.0
2020-03-25,5500.0
2020-03-26,5588.0
2020-03-27,5418.0
2020-03-30,5444.0
2020-03-31,5482.0
2020-04-01,5504.0
2020-04-02,5536.0
2020-04-03,5578.0
2020-04-07,5600.0
2020-04-08,5650.0
2020-04-09,5572.0
2020-04-10,5590.0
2020-04-13,5532.0
2020-04-14,5538.0
2020-04-15,5490.0
2020-04-16,5522.0
2020-04-17,5590.0
2020-04-20,5714.0
2020-04-21,5708.0
2020-04-22,5708.0
2020-04-23,5662.0
2020-04-24,5690.0
2020-04-27,5734.0
2020-04-28,5744.0
2020-04-29,5800.0
2020-04-30,5830.0
2020-05-06,5782.0
2020-05-07,5796.0
2020-05-08,5846.0
2020-05-11,5816.0
2020-05-12,5840.0
2020-05-13,5834.0
2020-05-14,5774.0
2020-05-15,5846.0
2020-05-18,5798.0
2020-05-19,5860.0
2020-05-20,5896.0
2020-05-21,5930.0
2020-05-22,5880.0
2020-05-25,5898.0
2020-05-26,5910.0
2020-05-27,5818.0
2020-05-28,5746.0
2020-05-29,5744.0
2020-06-01,5780.0
2020-06-02,5818.0
2020-06-03,5850.0
2020-06-04,5864.0
2020-06-05,5842.0
2020-06-08,5804.0
2020-06-09,5822.0
2020-06-10,5704.0
2020-06-11,5636.0
2020-06-12,5692.0
2020-06-15,5708.0
2020-06-16,5754.0
2020-06-17,5890.0
2020-06-18,6078.0
2020-06-19,6098.0
2020-06-22,5920.0
2020-06-23,5954.0
2020-06-24,5976.0
2020-06-29,5944.0
2020-06-30,5856.0
2020-07-01,5866.0
2020-07-02,5862.0
2020-07-03,5808.0
2020-07-06,5910.0
2020-07-07,5886.0
2020-07-08,5812.0
2020-07-09,5772.0
2020-07-10,5712.0
2020-07-13,5692.0
2020-07-14,5586.0
2020-07-15,5594.0
2020-07-16,5594.0
2020-07-17,5584.0
2020-07-20,5598.0
2020-07-21,5600.0
2020-07-22,5566.0
2020-07-23,5628.0
2020-07-24,5550.0
2020-07-27,5562.0
2020-07-28,5572.0
2020-07-29,5560.0
2020-07-30,5582.0
2020-07-31,5546.0
2020-08-03,5580.0
2020-08-04,5698.0
2020-08-05,5630.0
2020-08-06,5582.0
2020-08-07,5630.0
2020-08-10,5684.0
2020-08-11,5702.0
2020-08-12,5728.0
2020-08-13,5722.0
2020-08-14,5684.0
2020-08-17,5700.0
2020-08-18,5682.0
2020-08-19,5752.0
2020-08-20,5732.0
2020-08-21,5792.0
2020-08-24,5742.0
2020-08-25,5676.0
2020-08-26,5660.0
2020-08-27,5718.0
2020-08-28,5690.0
2020-08-31,5736.0
2020-09-01,5812.0
2020-09-02,5774.0
2020-09-03,5756.0
2020-09-04,5656.0
2020-09-07,5662.0
