datetime,V2001
2019-01-16,6255.0
2019-01-17,6290.0
2019-01-18,6315.0
2019-01-21,6330.0
2019-01-22,6345.0
2019-01-23,6340.0
2019-01-24,6345.0
2019-01-25,6345.0
2019-01-28,6325.0
2019-01-29,6320.0
2019-01-30,6355.0
2019-01-31,6365.0
2019-02-01,6370.0
2019-02-11,6355.0
2019-02-12,6335.0
2019-02-13,6285.0
2019-02-14,6305.0
2019-02-15,6280.0
2019-02-18,6285.0
2019-02-19,6310.0
2019-02-20,6310.0
2019-02-21,6335.0
2019-02-22,6340.0
2019-02-25,6355.0
2019-02-26,6390.0
2019-02-27,6350.0
2019-02-28,6330.0
2019-03-01,6385.0
2019-03-04,6415.0
2019-03-05,6400.0
2019-03-06,6440.0
2019-03-07,6440.0
2019-03-08,6435.0
2019-03-11,6400.0
2019-03-12,6415.0
2019-03-13,6415.0
2019-03-14,6395.0
2019-03-15,6340.0
2019-03-18,6235.0
2019-03-19,6235.0
2019-03-20,6225.0
2019-03-21,6265.0
2019-03-22,6345.0
2019-03-25,6365.0
2019-03-26,6355.0
2019-03-27,6395.0
2019-03-28,6415.0
2019-03-29,6440.0
2019-04-01,6430.0
2019-04-02,6420.0
2019-04-03,6555.0
2019-04-04,6595.0
2019-04-08,6730.0
2019-04-09,6700.0
2019-04-10,6700.0
2019-04-11,6740.0
2019-04-12,6675.0
2019-04-15,6665.0
2019-04-16,6675.0
2019-04-17,6660.0
2019-04-18,6610.0
2019-04-19,6625.0
2019-04-23,6660.0
2019-04-24,6790.0
2019-04-25,6790.0
2019-04-26,6810.0
2019-04-29,6775.0
2019-04-30,6855.0
2019-05-06,6940.0
2019-05-07,6910.0
2019-05-08,6870.0
2019-05-09,6765.0
2019-05-10,6820.0
2019-05-13,6710.0
2019-05-14,6685.0
2019-05-15,6750.0
2019-05-16,6800.0
2019-05-17,6705.0
2019-05-20,6685.0
2019-05-21,6755.0
2019-05-22,6710.0
2019-05-23,6625.0
2019-05-24,6625.0
2019-05-27,6590.0
2019-05-28,6625.0
2019-05-29,6655.0
2019-05-30,6675.0
2019-05-31,6610.0
2019-06-03,6560.0
2019-06-04,6480.0
2019-06-05,6405.0
2019-06-06,6430.0
2019-06-10,6435.0
2019-06-11,6485.0
2019-06-12,6445.0
2019-06-13,6485.0
2019-06-14,6470.0
2019-06-17,6480.0
