datetime,SM2005
2019-05-20,6906.0
2019-05-21,6938.0
2019-05-22,6998.0
2019-05-23,6940.0
2019-05-24,6936.0
2019-05-27,7000.0
2019-05-28,7016.0
2019-05-29,7030.0
2019-05-30,7058.0
2019-05-31,7052.0
2019-06-03,7002.0
2019-06-04,7020.0
2019-06-05,6950.0
2019-06-06,7010.0
2019-06-10,6950.0
2019-06-11,7022.0
2019-06-12,6996.0
2019-06-13,7030.0
2019-06-14,7014.0
2019-06-17,7062.0
2019-06-19,7096.0
2019-06-20,7098.0
2019-06-21,7122.0
2019-06-24,7126.0
2019-06-25,7164.0
2019-06-26,7198.0
2019-06-27,7190.0
2019-06-28,7214.0
2019-07-01,7202.0
2019-07-02,7208.0
2019-07-03,7172.0
2019-07-04,7180.0
2019-07-05,7178.0
2019-07-08,7132.0
2019-07-09,7022.0
2019-07-10,7100.0
2019-07-11,7114.0
2019-07-12,7114.0
2019-07-15,7116.0
2019-07-16,7112.0
2019-07-17,7096.0
2019-07-18,7104.0
2019-07-19,7130.0
2019-07-22,7080.0
2019-07-23,7106.0
2019-07-24,7172.0
2019-07-25,7176.0
2019-07-26,7154.0
2019-07-29,7178.0
2019-07-30,7142.0
2019-07-31,7172.0
2019-08-01,7170.0
2019-08-02,7134.0
2019-08-05,7072.0
2019-08-06,7018.0
2019-08-07,6988.0
2019-08-08,6990.0
2019-08-09,6900.0
2019-08-12,6914.0
2019-08-13,6914.0
2019-08-14,6880.0
2019-08-15,6912.0
2019-08-16,6930.0
2019-08-19,6926.0
2019-08-20,6958.0
2019-08-21,6954.0
2019-08-22,6922.0
2019-08-23,6934.0
2019-08-26,6818.0
2019-08-27,6846.0
2019-08-28,6820.0
2019-08-29,6734.0
2019-08-30,6788.0
2019-09-02,6836.0
2019-09-03,6846.0
2019-09-04,6830.0
2019-09-05,6828.0
2019-09-06,6836.0
2019-09-09,6800.0
2019-09-10,6848.0
2019-09-11,6756.0
2019-09-12,6766.0
2019-09-16,6764.0
2019-09-17,6776.0
2019-09-18,6740.0
2019-09-19,6726.0
2019-09-20,6650.0
2019-09-23,6652.0
2019-09-24,6664.0
2019-09-25,6656.0
2019-09-26,6644.0
2019-09-27,6554.0
2019-09-30,6578.0
2019-10-08,6558.0
2019-10-09,6518.0
2019-10-10,6538.0
2019-10-11,6480.0
2019-10-14,6418.0
