datetime,Y1909
2018-09-17,5862.0
2018-09-18,5846.0
2018-09-19,5786.0
2018-09-20,5750.0
2018-09-21,5714.0
2018-09-25,5766.0
2018-09-26,5816.0
2018-09-27,5780.0
2018-09-28,5760.0
2018-10-08,5792.0
2018-10-09,5870.0
2018-10-10,5910.0
2018-10-11,5832.0
2018-10-12,5900.0
2018-10-15,5910.0
2018-10-16,5914.0
2018-10-17,5932.0
2018-10-18,5880.0
2018-10-19,5878.0
2018-10-22,5916.0
2018-10-23,5880.0
2018-10-24,5834.0
2018-10-25,5838.0
2018-10-26,5810.0
2018-10-29,5828.0
2018-10-30,5796.0
2018-10-31,5806.0
2018-11-01,5790.0
2018-11-02,5708.0
2018-11-05,5730.0
2018-11-06,5742.0
2018-11-07,5720.0
2018-11-08,5672.0
2018-11-09,5638.0
2018-11-12,5644.0
2018-11-13,5638.0
2018-11-14,5544.0
2018-11-15,5564.0
2018-11-16,5590.0
2018-11-19,5570.0
2018-11-20,5562.0
2018-11-21,5568.0
2018-11-22,5582.0
2018-11-23,5564.0
2018-11-26,5604.0
2018-11-27,5570.0
2018-11-28,5604.0
2018-11-29,5598.0
2018-11-30,5630.0
2018-12-03,5610.0
2018-12-04,5610.0
2018-12-05,5614.0
2018-12-06,5612.0
2018-12-07,5544.0
2018-12-10,5572.0
2018-12-11,5500.0
2018-12-12,5520.0
2018-12-13,5508.0
2018-12-14,5486.0
2018-12-17,5482.0
2018-12-18,5516.0
2018-12-19,5548.0
2018-12-20,5520.0
2018-12-21,5520.0
2018-12-24,5550.0
2018-12-25,5492.0
2018-12-26,5502.0
2018-12-27,5480.0
2018-12-28,5468.0
2019-01-02,5540.0
2019-01-03,5596.0
2019-01-04,5610.0
2019-01-07,5604.0
2019-01-08,5646.0
2019-01-09,5634.0
2019-01-10,5626.0
2019-01-11,5604.0
2019-01-14,5608.0
2019-01-15,5594.0
2019-01-16,5598.0
2019-01-17,5544.0
2019-01-18,5632.0
2019-01-21,5734.0
2019-01-22,5746.0
2019-01-23,5732.0
2019-01-24,5748.0
2019-01-25,5758.0
2019-01-28,5842.0
2019-01-29,5846.0
2019-01-30,5838.0
2019-01-31,5806.0
2019-02-01,5794.0
2019-02-11,5828.0
2019-02-12,5794.0
2019-02-13,5812.0
2019-02-14,5802.0
2019-02-15,5778.0
2019-02-18,5826.0
2019-02-19,5892.0
2019-02-20,5818.0
2019-02-21,5808.0
2019-02-22,5814.0
2019-02-25,5820.0
2019-02-26,5750.0
2019-02-27,5756.0
2019-02-28,5764.0
2019-03-01,5848.0
2019-03-04,5882.0
2019-03-05,5862.0
2019-03-06,5894.0
2019-03-07,5814.0
2019-03-08,5808.0
2019-03-11,5806.0
2019-03-12,5772.0
2019-03-13,5752.0
2019-03-14,5724.0
2019-03-15,5674.0
2019-03-18,5710.0
2019-03-19,5688.0
2019-03-20,5714.0
2019-03-21,5706.0
2019-03-22,5666.0
2019-03-25,5610.0
2019-03-26,5612.0
2019-03-27,5638.0
2019-03-28,5584.0
2019-03-29,5536.0
2019-04-01,5554.0
2019-04-02,5566.0
2019-04-03,5598.0
2019-04-04,5598.0
2019-04-08,5602.0
2019-04-09,5632.0
2019-04-10,5610.0
2019-04-11,5598.0
2019-04-12,5602.0
2019-04-15,5578.0
2019-04-16,5550.0
2019-04-17,5568.0
2019-04-18,5494.0
2019-04-19,5510.0
2019-04-23,5504.0
2019-04-24,5454.0
2019-04-25,5446.0
2019-04-26,5360.0
2019-04-29,5358.0
2019-04-30,5378.0
2019-05-06,5346.0
2019-05-07,5406.0
2019-05-08,5386.0
2019-05-09,5424.0
2019-05-10,5380.0
2019-05-13,5380.0
