datetime,FG2101
2020-02-10,1391.0
2020-02-11,1399.0
2020-02-12,1403.0
2020-02-13,1409.0
2020-02-14,1408.0
2020-02-17,1407.0
2020-02-18,1407.0
2020-02-19,1410.0
2020-02-20,1418.0
2020-02-21,1423.0
2020-02-24,1427.0
2020-02-25,1430.0
2020-02-26,1428.0
2020-02-27,1422.0
2020-02-28,1420.0
2020-03-02,1434.0
2020-03-03,1430.0
2020-03-04,1429.0
2020-03-05,1431.0
2020-03-06,1425.0
2020-03-09,1413.0
2020-03-10,1417.0
2020-03-11,1417.0
2020-03-12,1416.0
2020-03-13,1407.0
2020-03-16,1386.0
2020-03-17,1369.0
2020-03-18,1359.0
2020-03-19,1331.0
2020-03-20,1326.0
2020-03-23,1291.0
2020-03-24,1310.0
2020-03-25,1310.0
2020-03-26,1294.0
2020-03-27,1288.0
2020-03-30,1277.0
2020-03-31,1274.0
2020-04-01,1254.0
2020-04-02,1255.0
2020-04-03,1204.0
2020-04-07,1221.0
2020-04-08,1219.0
2020-04-09,1223.0
2020-04-10,1229.0
2020-04-13,1181.0
2020-04-14,1200.0
2020-04-15,1229.0
2020-04-16,1211.0
2020-04-17,1247.0
2020-04-20,1239.0
2020-04-21,1217.0
2020-04-22,1218.0
2020-04-23,1212.0
2020-04-24,1235.0
2020-04-27,1255.0
2020-04-28,1239.0
2020-04-29,1250.0
2020-04-30,1258.0
2020-05-06,1274.0
2020-05-07,1286.0
2020-05-08,1295.0
2020-05-11,1317.0
2020-05-12,1318.0
2020-05-13,1344.0
2020-05-14,1342.0
2020-05-15,1329.0
2020-05-18,1350.0
2020-05-19,1352.0
2020-05-20,1353.0
2020-05-21,1362.0
2020-05-22,1330.0
2020-05-25,1374.0
2020-05-26,1380.0
2020-05-27,1371.0
2020-05-28,1378.0
2020-05-29,1381.0
2020-06-01,1377.0
2020-06-02,1383.0
2020-06-03,1373.0
2020-06-04,1377.0
2020-06-05,1379.0
2020-06-08,1380.0
2020-06-09,1378.0
2020-06-10,1374.0
2020-06-11,1391.0
2020-06-12,1412.0
2020-06-15,1411.0
2020-06-16,1411.0
2020-06-17,1396.0
2020-06-18,1402.0
2020-06-19,1408.0
2020-06-22,1413.0
2020-06-23,1410.0
2020-06-24,1434.0
2020-06-29,1426.0
2020-06-30,1429.0
2020-07-01,1437.0
2020-07-02,1446.0
2020-07-03,1445.0
2020-07-06,1457.0
2020-07-07,1485.0
2020-07-08,1489.0
2020-07-09,1500.0
2020-07-10,1493.0
2020-07-13,1542.0
2020-07-14,1554.0
2020-07-15,1566.0
2020-07-16,1559.0
2020-07-17,1601.0
2020-07-20,1585.0
2020-07-21,1625.0
2020-07-22,1624.0
2020-07-23,1603.0
2020-07-24,1610.0
2020-07-27,1609.0
2020-07-28,1615.0
2020-07-29,1600.0
2020-07-30,1635.0
2020-07-31,1658.0
2020-08-03,1710.0
2020-08-04,1760.0
2020-08-05,1777.0
2020-08-06,1785.0
2020-08-07,1784.0
2020-08-10,1789.0
2020-08-11,1851.0
2020-08-12,1841.0
2020-08-13,1849.0
2020-08-14,1834.0
2020-08-17,1851.0
2020-08-18,1858.0
2020-08-19,1843.0
2020-08-20,1833.0
2020-08-21,1740.0
2020-08-24,1769.0
2020-08-25,1708.0
2020-08-26,1718.0
2020-08-27,1749.0
2020-08-28,1827.0
2020-08-31,1857.0
2020-09-01,1820.0
2020-09-02,1832.0
2020-09-03,1794.0
2020-09-04,1748.0
2020-09-07,1758.0
2020-09-08,1747.0
2020-09-09,1753.0
2020-09-10,1717.0
2020-09-11,1729.0
2020-09-14,1680.0
2020-09-15,1646.0
2020-09-16,1653.0
2020-09-17,1642.0
2020-09-18,1668.0
2020-09-21,1629.0
2020-09-22,1653.0
2020-09-23,1670.0
2020-09-24,1672.0
2020-09-25,1670.0
2020-09-28,1675.0
2020-09-29,1699.0
2020-09-30,1742.0
2020-10-09,1750.0
2020-10-12,1785.0
2020-10-13,1752.0
2020-10-14,1736.0
2020-10-15,1716.0
2020-10-16,1726.0
2020-10-19,1710.0
2020-10-20,1716.0
2020-10-21,1691.0
2020-10-22,1714.0
2020-10-23,1707.0
2020-10-26,1717.0
2020-10-27,1754.0
2020-10-28,1730.0
2020-10-29,1708.0
2020-10-30,1743.0
2020-11-02,1740.0
2020-11-03,1725.0
2020-11-04,1729.0
2020-11-05,1730.0
2020-11-06,1754.0
2020-11-09,1762.0
2020-11-10,1772.0
2020-11-11,1808.0
2020-11-12,1824.0
2020-11-13,1835.0
2020-11-16,1852.0
2020-11-17,1857.0
2020-11-18,1830.0
2020-11-19,1870.0
2020-11-20,1880.0
2020-11-23,1847.0
2020-11-24,1846.0
2020-11-25,1835.0
2020-11-26,1842.0
2020-11-27,1847.0
2020-11-30,1837.0
2020-12-01,1827.0
2020-12-02,1870.0
2020-12-03,1869.0
2020-12-04,1882.0
2020-12-07,1945.0
2020-12-08,1975.0
2020-12-09,1998.0
2020-12-10,1991.0
2020-12-11,1988.0
2020-12-14,1995.0
2020-12-15,2001.0
2020-12-16,2026.0
2020-12-17,2049.0
2020-12-18,2069.0
2020-12-21,2078.0
2020-12-22,2055.0
2020-12-23,2054.0
2020-12-24,2025.0
2020-12-25,2042.0
2020-12-28,1961.0
2020-12-29,1977.0
2020-12-30,1977.0
2020-12-31,2002.0
2021-01-04,1978.0
2021-01-05,1971.0
2021-01-06,1873.0
2021-01-07,1825.0
2021-01-08,1750.0
2021-01-11,1701.0
2021-01-13,1660.0
2021-01-14,1740.0
