目标波动,年化,夏普,最大回撤,Calmar
0.1,0.07479950102475685,0.6672642174877218,-0.25926950079416355,0.2885009644236592
0.15,0.10857276689742035,0.6672642174877216,-0.3697739430322634,0.2936193015848799
0.2,0.13956870681237832,0.6672642174877218,-0.467904118237382,0.2982848437798337
0.3,0.19202556713185137,0.6668359582473234,-0.6294015444559395,0.30509230367052886
0.45,0.24872144619021408,0.6769324479779224,-0.7853795810067755,0.3166894737336803
0.6,0.2678096202790101,0.6743835974294808,-0.8558974483231137,0.31289919230826835
