因子,0bp夏普,2bp夏普,5bp夏普,10bp夏普
横截面反转5日,0.9898696385869615,0.5549968004619668,-0.06292632000139306,-1.114351080318087
跳月动量(12-1),-0.3482712305114027,-0.472307495965547,-0.67080234607884,-0.9996695962837718
Carry,-0.30025405726048277,-0.46579434500467976,-0.6310752113597858,-0.9046582523182485
