板块,品种数,组合年化,组合夏普,组合回撤,组合Calmar,MTF均值夏普,小周期均值夏普
能化,10,0.1160784045745118,0.7177358019400908,-0.4181140787687184,0.27762376458679605,0.14800497131192514,0.2199128144467691
黑色,7,0.08550637954584439,0.5564213414860474,-0.4581060190869677,0.18665194514637387,0.2517350896419327,0.3125908110659715
贵金属,2,0.07926785545900006,0.5059788294561735,-0.4742070374341327,0.1671587496632425,0.4160137113599061,0.1525995853648291
有色,6,0.05123897003273159,0.3889047698028185,-0.4906077630707245,0.1044397865048563,0.27886437255383,0.19604451582243165
农产品,11,-0.03286064004666678,-0.14248147818766918,-0.7030122938374039,-0.0467426250361803,-0.06650297057636033,-0.037014927300624195
