品种,名称,样本天数,MTF期间收益,MTF夏普,MTF回撤,仅60m期间收益,仅60m夏普
RB0,螺纹钢,266,-0.14327254855360472,-2.1775192327334136,-0.18079575656122515,-0.12702417819691925,-1.161174197381752
HC0,热卷,266,-0.07063916579540719,-0.9225954772111045,-0.1488960477344693,-0.1116015532309409,-1.0031219789409715
CU0,沪铜,197,-0.013859799732274025,-0.11149949300094576,-0.12219075971352211,-0.017450795734525126,-0.07573673701187654
AL0,沪铝,197,0.02642288557406669,0.37128835675321614,-0.10290313268907181,0.0329479530769925,0.3737212236901309
AU0,黄金,155,0.15219742930442082,1.7029547067263802,-0.10548586332989462,0.12818583036661102,1.115951738072098
M0,豆粕,266,-0.1880119430385926,-1.9829293665624041,-0.2185955056812674,-0.1608248286536399,-1.214297651648261
TA0,PTA,266,0.01840818412391476,0.2787716669950269,-0.07299978524023398,-0.10859035263400252,-0.9264085033851882
RU0,橡胶,266,0.022738601158518,0.3438095128059352,-0.0871579866074973,-0.01108665901822381,-0.026351302754038304
