入场,模式,年化,夏普,回撤,Calmar
快 ma3/10,ltf_only,0.05116962700173211,0.37968558030212585,-0.3715241130610816,0.13772895271893001
快 ma3/10,mtf,0.06732250769975212,0.5357592183810467,-0.3446752715525331,0.19532154829822562
中 ma5/20,ltf_only,0.10598781767166554,0.6821611783204332,-0.33749514780560763,0.31404249323523015
中 ma5/20,mtf,0.08956933492266095,0.6591629173327267,-0.365681105173843,0.24493837295771714
慢 ma10/30,ltf_only,0.1071096236394844,0.6855449480637544,-0.3880603434130726,0.27601280434231606
慢 ma10/30,mtf,0.07976111296551247,0.5669779903658273,-0.4254586032684883,0.1874709133926685
更慢 ma20/60,ltf_only,0.0959434378516748,0.6285186477778412,-0.32983471397130637,0.2908833842759841
更慢 ma20/60,mtf,0.0659240873833915,0.47768311813457537,-0.4382175123190144,0.15043690754056394
