datetime,CY2509
2024-09-24,20505.0
2024-10-08,21000.0
2024-10-21,20780.0
2024-11-07,20585.0
2024-11-13,20320.0
2024-11-18,20295.0
2024-11-20,20155.0
2024-11-22,20150.0
2024-11-26,20030.0
2024-12-02,20200.0
2024-12-03,20035.0
2024-12-04,20085.0
2024-12-05,20110.0
2024-12-09,19890.0
2024-12-12,19950.0
2024-12-16,19760.0
2024-12-18,19515.0
2024-12-19,19540.0
2024-12-23,19660.0
2024-12-25,19720.0
2024-12-26,19740.0
2024-12-27,19710.0
2024-12-31,19710.0
2025-01-03,19725.0
2025-01-07,19625.0
2025-01-08,19610.0
2025-01-09,19690.0
2025-01-10,19750.0
2025-01-13,19740.0
2025-01-14,19755.0
2025-01-16,19795.0
2025-01-17,19805.0
2025-01-22,19730.0
2025-01-24,19810.0
2025-01-27,20005.0
2025-02-05,19955.0
2025-02-10,20030.0
2025-02-11,20155.0
2025-02-12,20075.0
2025-02-13,20015.0
2025-02-14,20025.0
2025-02-17,20115.0
2025-02-18,20195.0
2025-02-19,20130.0
2025-02-20,20130.0
2025-02-21,20160.0
2025-02-24,20135.0
2025-02-25,20090.0
2025-02-26,20020.0
2025-02-27,19880.0
2025-02-28,19730.0
2025-03-03,19810.0
2025-03-04,19790.0
2025-03-05,19710.0
2025-03-06,19780.0
2025-03-07,19895.0
2025-03-10,19895.0
2025-03-11,19875.0
2025-03-12,19870.0
2025-03-13,19950.0
2025-03-14,19930.0
2025-03-17,19900.0
2025-03-18,19795.0
2025-03-19,19850.0
2025-03-20,19845.0
2025-03-21,19795.0
2025-03-24,19735.0
2025-03-25,19695.0
2025-03-26,19770.0
2025-03-27,19705.0
2025-03-28,19735.0
2025-03-31,19635.0
2025-04-01,19760.0
2025-04-02,19750.0
2025-04-03,19625.0
2025-04-07,19230.0
2025-04-08,18965.0
2025-04-09,18645.0
2025-04-10,18935.0
2025-04-11,18870.0
2025-04-14,18935.0
2025-04-15,18835.0
2025-04-16,18770.0
2025-04-17,18860.0
2025-04-18,18870.0
2025-04-21,18930.0
2025-04-22,18780.0
2025-04-23,18935.0
2025-04-24,18940.0
2025-04-25,18945.0
2025-04-28,18910.0
2025-04-29,18870.0
2025-04-30,18820.0
2025-05-06,18775.0
2025-05-07,18980.0
2025-05-08,19050.0
2025-05-09,19105.0
2025-05-12,19430.0
2025-05-13,19545.0
2025-05-14,19695.0
2025-05-15,19655.0
2025-05-16,19605.0
2025-05-19,19650.0
2025-05-20,19655.0
2025-05-21,19710.0
2025-05-22,19695.0
2025-05-23,19635.0
2025-05-26,19585.0
2025-05-27,19530.0
2025-05-28,19565.0
2025-05-29,19525.0
2025-05-30,19495.0
2025-06-03,19485.0
2025-06-04,19475.0
2025-06-05,19480.0
2025-06-06,19630.0
2025-06-09,19740.0
2025-06-10,19725.0
2025-06-11,19750.0
2025-06-12,19770.0
2025-06-13,19715.0
2025-06-16,19765.0
2025-06-17,19775.0
2025-06-18,19840.0
2025-06-19,19770.0
2025-06-20,19735.0
2025-06-23,19700.0
2025-06-24,19905.0
2025-06-25,19995.0
2025-06-26,20060.0
2025-06-27,20105.0
2025-06-30,19990.0
2025-07-01,20045.0
2025-07-02,20075.0
2025-07-03,20035.0
2025-07-04,20000.0
2025-07-07,19955.0
2025-07-08,19965.0
2025-07-09,19985.0
2025-07-10,20030.0
2025-07-11,20095.0
2025-07-14,20120.0
2025-07-15,20050.0
2025-07-16,20180.0
2025-07-17,20430.0
2025-07-18,20520.0
2025-07-21,20390.0
2025-07-22,20430.0
2025-07-23,20350.0
2025-07-24,20360.0
2025-07-25,20370.0
2025-07-28,20235.0
2025-07-29,19995.0
2025-07-30,19870.0
2025-07-31,19770.0
2025-08-01,19740.0
2025-08-04,19825.0
2025-08-05,19845.0
2025-08-06,19900.0
2025-08-07,19900.0
2025-08-08,19885.0
2025-08-11,19900.0
2025-08-12,19995.0
2025-08-13,20115.0
2025-08-14,20150.0
2025-08-15,20100.0
2025-08-18,20120.0
2025-08-19,20095.0
2025-08-20,20045.0
2025-08-21,20025.0
2025-08-22,20060.0
2025-08-25,20115.0
2025-08-26,20080.0
2025-08-27,20205.0
2025-08-28,20240.0
2025-08-29,20800.0
2025-09-01,20180.0
2025-09-02,20100.0
2025-09-03,19625.0
2025-09-04,20100.0
2025-09-05,20200.0
2025-09-08,20200.0
