datetime,CF2405
2023-05-18,16105.0
2023-05-19,16210.0
2023-05-22,16320.0
2023-05-23,16295.0
2023-05-24,15930.0
2023-05-25,15725.0
2023-05-26,15640.0
2023-05-29,15810.0
2023-05-30,15670.0
2023-05-31,15630.0
2023-06-01,16250.0
2023-06-02,16045.0
2023-06-05,16395.0
2023-06-06,16430.0
2023-06-07,16305.0
2023-06-08,16480.0
2023-06-09,16640.0
2023-06-12,16515.0
2023-06-13,16530.0
2023-06-14,16530.0
2023-06-15,16465.0
2023-06-16,16555.0
2023-06-19,16215.0
2023-06-20,16350.0
2023-06-21,16130.0
2023-06-26,16080.0
2023-06-27,16125.0
2023-06-28,16125.0
2023-06-29,16090.0
2023-06-30,16380.0
2023-07-03,16560.0
2023-07-04,16340.0
2023-07-05,16390.0
2023-07-06,16390.0
2023-07-07,16460.0
2023-07-10,16505.0
2023-07-11,16760.0
2023-07-12,16870.0
2023-07-13,16830.0
2023-07-14,16760.0
2023-07-17,16630.0
2023-07-18,16855.0
2023-07-19,16895.0
2023-07-20,16905.0
2023-07-21,16985.0
2023-07-24,16775.0
2023-07-25,16870.0
2023-07-26,16925.0
2023-07-27,16965.0
2023-07-28,16945.0
2023-07-31,17135.0
2023-08-01,17175.0
2023-08-02,17170.0
2023-08-03,16935.0
2023-08-04,16890.0
2023-08-07,17090.0
2023-08-08,16855.0
2023-08-09,16895.0
2023-08-10,16900.0
2023-08-11,16970.0
2023-08-14,16855.0
2023-08-15,16885.0
2023-08-16,16635.0
2023-08-17,16440.0
2023-08-18,16685.0
2023-08-21,16685.0
2023-08-22,16660.0
2023-08-23,16780.0
2023-08-24,16925.0
2023-08-25,17050.0
2023-08-28,17120.0
2023-08-29,17065.0
2023-08-30,17235.0
2023-08-31,17260.0
2023-09-01,17410.0
2023-09-04,17130.0
2023-09-05,17230.0
2023-09-06,17335.0
2023-09-07,16960.0
2023-09-08,16685.0
2023-09-11,16890.0
2023-09-12,17085.0
2023-09-13,16795.0
2023-09-14,16865.0
2023-09-15,16975.0
2023-09-18,16915.0
2023-09-19,17090.0
2023-09-20,16905.0
2023-09-21,16865.0
2023-09-22,16890.0
2023-09-25,16945.0
2023-09-26,16970.0
2023-09-27,17130.0
2023-09-28,17315.0
2023-10-09,17305.0
2023-10-10,16920.0
2023-10-11,16800.0
2023-10-12,16810.0
2023-10-13,16835.0
2023-10-16,16810.0
2023-10-17,16565.0
2023-10-18,16360.0
2023-10-19,16330.0
2023-10-20,15985.0
2023-10-23,15800.0
2023-10-24,16045.0
2023-10-25,16085.0
2023-10-26,16100.0
2023-10-27,16070.0
2023-10-30,16060.0
2023-10-31,15715.0
2023-11-01,15410.0
2023-11-02,15570.0
2023-11-03,15705.0
2023-11-06,15665.0
2023-11-07,15560.0
2023-11-08,15585.0
2023-11-09,15525.0
2023-11-10,15525.0
2023-11-13,15445.0
2023-11-14,15645.0
2023-11-15,15530.0
2023-11-16,15575.0
2023-11-17,15530.0
2023-11-20,15415.0
2023-11-21,14985.0
2023-11-22,15170.0
2023-11-23,15115.0
2023-11-24,14930.0
2023-11-27,14730.0
2023-11-28,14670.0
2023-11-29,14775.0
2023-11-30,14905.0
2023-12-01,14930.0
2023-12-04,14870.0
2023-12-05,14945.0
2023-12-06,15145.0
2023-12-07,15205.0
2023-12-08,15380.0
2023-12-11,15405.0
2023-12-12,15360.0
2023-12-13,15285.0
2023-12-14,15355.0
2023-12-15,15350.0
2023-12-18,15190.0
2023-12-19,15185.0
2023-12-20,15240.0
2023-12-21,15260.0
2023-12-22,15425.0
2023-12-25,15405.0
2023-12-26,15435.0
2023-12-27,15520.0
2023-12-28,15530.0
2023-12-29,15455.0
2024-01-02,15600.0
2024-01-03,15645.0
2024-01-04,15670.0
2024-01-05,15615.0
2024-01-08,15500.0
2024-01-09,15500.0
2024-01-10,15485.0
2024-01-11,15580.0
2024-01-12,15520.0
2024-01-15,15435.0
2024-01-16,15600.0
2024-01-17,15540.0
2024-01-18,15890.0
2024-01-19,15925.0
2024-01-22,15910.0
2024-01-23,15955.0
2024-01-24,15975.0
2024-01-25,15990.0
2024-01-26,15980.0
2024-01-29,16125.0
2024-01-31,16085.0
2024-02-01,16025.0
2024-02-02,15990.0
2024-02-05,16025.0
2024-02-06,16055.0
2024-02-07,15985.0
2024-02-08,16025.0
2024-02-19,16270.0
2024-02-20,16245.0
2024-02-21,16225.0
2024-02-22,16295.0
2024-02-23,16320.0
2024-02-26,16195.0
2024-02-27,16280.0
2024-02-28,16370.0
2024-02-29,16110.0
2024-03-04,15985.0
2024-03-05,16025.0
2024-03-06,16055.0
2024-03-07,16065.0
2024-03-08,16200.0
2024-03-11,15980.0
2024-03-12,15930.0
