datetime,L2009
2019-09-17,7600.0
2019-09-18,7375.0
2019-09-19,7350.0
2019-09-20,7305.0
2019-09-23,7325.0
2019-09-24,7325.0
2019-09-25,7320.0
2019-09-26,7310.0
2019-09-27,7250.0
2019-09-30,7280.0
2019-10-08,7245.0
2019-10-09,7235.0
2019-10-10,7230.0
2019-10-11,7255.0
2019-10-14,7340.0
2019-10-15,7295.0
2019-10-16,7190.0
2019-10-17,7175.0
2019-10-18,7210.0
2019-10-21,7150.0
2019-10-22,7155.0
2019-10-23,7190.0
2019-10-24,7195.0
2019-10-25,7185.0
2019-10-28,7185.0
2019-10-29,7160.0
2019-10-30,7160.0
2019-10-31,7180.0
2019-11-01,7160.0
2019-11-04,7185.0
2019-11-05,7180.0
2019-11-06,7165.0
2019-11-07,7165.0
2019-11-08,7145.0
2019-11-11,7130.0
2019-11-12,7160.0
2019-11-13,7140.0
2019-11-14,7105.0
2019-11-15,7065.0
2019-11-18,7085.0
2019-11-19,7085.0
2019-11-20,7080.0
2019-11-21,7150.0
2019-11-22,7140.0
2019-11-25,7170.0
2019-11-26,7150.0
2019-11-27,7155.0
2019-11-28,7185.0
2019-11-29,7240.0
2019-12-02,7250.0
2019-12-03,7230.0
2019-12-04,7225.0
2019-12-05,7220.0
2019-12-06,7275.0
2019-12-09,7280.0
2019-12-10,7275.0
2019-12-11,7215.0
2019-12-12,7260.0
2019-12-13,7315.0
2019-12-16,7330.0
2019-12-17,7320.0
2019-12-18,7305.0
2019-12-19,7310.0
2019-12-20,7355.0
2019-12-23,7350.0
2019-12-24,7340.0
2019-12-25,7385.0
2019-12-26,7410.0
2019-12-27,7415.0
2019-12-30,7445.0
2019-12-31,7355.0
2020-01-02,7360.0
2020-01-03,7400.0
2020-01-06,7485.0
2020-01-07,7440.0
2020-01-08,7515.0
2020-01-09,7405.0
2020-01-10,7470.0
2020-01-13,7525.0
2020-01-14,7455.0
2020-01-15,7405.0
2020-01-16,7340.0
2020-01-17,7350.0
2020-01-20,7315.0
2020-01-21,7290.0
2020-01-22,7230.0
2020-01-23,7205.0
2020-02-03,6780.0
2020-02-04,6925.0
2020-02-05,6970.0
2020-02-06,7000.0
2020-02-07,6980.0
2020-02-10,6980.0
2020-02-11,6980.0
2020-02-12,6980.0
2020-02-13,6960.0
2020-02-14,6980.0
2020-02-17,7025.0
2020-02-18,7050.0
2020-02-19,7105.0
2020-02-20,7170.0
2020-02-21,7145.0
2020-02-24,7080.0
2020-02-25,7100.0
2020-02-26,7055.0
2020-02-27,7030.0
2020-02-28,6880.0
2020-03-02,7020.0
2020-03-03,7070.0
2020-03-04,7075.0
2020-03-05,7085.0
2020-03-06,7030.0
2020-03-09,6750.0
2020-03-10,6875.0
2020-03-11,6830.0
2020-03-12,6775.0
2020-03-13,6785.0
2020-03-16,6690.0
2020-03-17,6640.0
2020-03-18,6495.0
2020-03-19,6425.0
2020-03-20,6475.0
2020-03-23,6340.0
2020-03-24,6265.0
2020-03-25,6185.0
2020-03-26,5910.0
2020-03-27,5735.0
2020-03-30,5420.0
2020-03-31,5505.0
2020-04-01,5565.0
2020-04-02,5805.0
2020-04-03,5905.0
2020-04-07,6115.0
2020-04-08,5920.0
2020-04-09,6045.0
2020-04-10,6260.0
2020-04-13,6330.0
2020-04-14,6180.0
2020-04-15,6205.0
2020-04-16,6225.0
2020-04-17,6150.0
2020-04-20,6095.0
2020-04-21,5865.0
2020-04-22,5730.0
2020-04-23,6100.0
2020-04-24,6110.0
2020-04-27,6225.0
2020-04-28,6145.0
2020-04-29,6090.0
2020-04-30,6180.0
2020-05-06,6450.0
2020-05-07,6340.0
2020-05-08,6360.0
2020-05-11,6240.0
2020-05-12,6250.0
2020-05-13,6295.0
2020-05-14,6290.0
2020-05-15,6395.0
2020-05-18,6370.0
2020-05-19,6365.0
2020-05-20,6490.0
2020-05-21,6515.0
2020-05-22,6415.0
2020-05-25,6490.0
2020-05-26,6490.0
2020-05-27,6500.0
2020-05-28,6560.0
2020-05-29,6515.0
2020-06-01,6685.0
2020-06-02,6690.0
2020-06-03,6725.0
2020-06-04,6570.0
2020-06-05,6630.0
2020-06-08,6610.0
2020-06-09,6660.0
2020-06-10,6650.0
2020-06-11,6645.0
2020-06-12,6690.0
2020-06-15,6645.0
2020-06-16,6850.0
2020-06-17,6825.0
2020-06-18,6850.0
2020-06-19,6795.0
2020-06-22,6785.0
2020-06-23,6835.0
2020-06-24,6875.0
2020-06-29,6785.0
2020-06-30,6900.0
2020-07-01,6890.0
2020-07-02,6890.0
2020-07-03,7000.0
2020-07-06,7180.0
2020-07-07,7280.0
2020-07-08,7300.0
2020-07-09,7290.0
2020-07-10,7225.0
2020-07-13,7290.0
2020-07-14,7305.0
2020-07-15,7235.0
2020-07-16,7120.0
2020-07-17,7090.0
2020-07-20,7100.0
2020-07-21,7060.0
2020-07-22,6995.0
2020-07-23,7025.0
2020-07-24,6940.0
2020-07-27,7050.0
2020-07-28,7110.0
2020-07-29,7095.0
2020-07-30,7045.0
2020-07-31,6985.0
2020-08-03,7085.0
2020-08-04,7190.0
2020-08-05,7200.0
2020-08-06,7180.0
2020-08-07,7175.0
2020-08-10,7070.0
2020-08-11,7055.0
2020-08-12,7025.0
2020-08-13,6990.0
2020-08-14,7035.0
2020-08-17,7085.0
2020-08-18,7175.0
2020-08-19,7120.0
2020-08-20,7195.0
2020-08-21,7075.0
2020-08-24,7085.0
2020-08-25,7165.0
2020-08-26,7180.0
2020-08-27,7275.0
2020-08-28,7250.0
2020-08-31,7410.0
2020-09-01,7425.0
2020-09-02,7685.0
2020-09-03,7610.0
2020-09-04,7610.0
2020-09-07,7510.0
2020-09-08,7515.0
2020-09-09,7405.0
2020-09-14,7330.0
