datetime,B2501
2024-01-16,3753.0
2024-01-17,3729.0
2024-01-18,3692.0
2024-01-19,3720.0
2024-01-22,3701.0
2024-01-23,3692.0
2024-01-24,3730.0
2024-01-25,3743.0
2024-01-26,3712.0
2024-01-29,3661.0
2024-01-30,3634.0
2024-01-31,3652.0
2024-02-01,3678.0
2024-02-02,3639.0
2024-02-05,3640.0
2024-02-06,3641.0
2024-02-07,3624.0
2024-02-08,3660.0
2024-02-19,3673.0
2024-02-20,3685.0
2024-02-21,3685.0
2024-02-22,3680.0
2024-02-23,3675.0
2024-02-26,3661.0
2024-02-27,3678.0
2024-02-28,3686.0
2024-02-29,3716.0
2024-03-01,3771.0
2024-03-04,3800.0
2024-03-05,3789.0
2024-03-06,3789.0
2024-03-07,3808.0
2024-03-08,3858.0
2024-03-11,3836.0
2024-03-12,3870.0
2024-03-13,3868.0
2024-03-14,3886.0
2024-03-15,3894.0
2024-03-18,3890.0
2024-03-19,3903.0
2024-03-20,3926.0
2024-03-21,3970.0
2024-03-22,3915.0
2024-03-25,3887.0
2024-03-26,3884.0
2024-03-27,3885.0
2024-03-28,3856.0
2024-03-29,3905.0
2024-04-01,3920.0
2024-04-02,3887.0
2024-04-03,3897.0
2024-04-08,3890.0
2024-04-09,3898.0
2024-04-10,3885.0
2024-04-11,3886.0
2024-04-12,3904.0
2024-04-15,3938.0
2024-04-16,3933.0
2024-04-17,3828.0
2024-04-18,3844.0
2024-04-19,3853.0
2024-04-22,3861.0
2024-04-23,3915.0
2024-04-24,3963.0
2024-04-25,3927.0
2024-04-26,3951.0
2024-04-29,3954.0
2024-04-30,3947.0
2024-05-06,4021.0
2024-05-07,4096.0
2024-05-08,4114.0
2024-05-09,4080.0
2024-05-10,4012.0
2024-05-13,4056.0
2024-05-14,4048.0
2024-05-15,4076.0
2024-05-16,4062.0
2024-05-17,4121.0
2024-05-20,4118.0
2024-05-21,4119.0
2024-05-22,4161.0
2024-05-23,4159.0
2024-05-24,4134.0
2024-05-27,4123.0
2024-05-28,4130.0
2024-05-29,4098.0
2024-05-30,4060.0
2024-05-31,4083.0
2024-06-03,3992.0
2024-06-04,3982.0
2024-06-05,3992.0
2024-06-06,4031.0
2024-06-07,4025.0
2024-06-11,3990.0
2024-06-12,4007.0
2024-06-13,3958.0
2024-06-14,3989.0
2024-06-17,3923.0
2024-06-18,3926.0
2024-06-19,3960.0
2024-06-20,3951.0
2024-06-21,3919.0
2024-06-24,3947.0
2024-06-25,3942.0
2024-06-26,3970.0
2024-06-27,3978.0
2024-06-28,3982.0
2024-07-01,3974.0
2024-07-02,4019.0
2024-07-03,4029.0
2024-07-04,3984.0
2024-07-05,3999.0
2024-07-08,3971.0
2024-07-09,3889.0
2024-07-10,3822.0
2024-07-11,3806.0
2024-07-12,3807.0
2024-07-15,3755.0
2024-07-16,3744.0
2024-07-17,3764.0
2024-07-18,3779.0
2024-07-19,3805.0
2024-07-22,3835.0
2024-07-23,3829.0
2024-07-24,3812.0
2024-07-25,3790.0
2024-07-26,3824.0
2024-07-29,3755.0
2024-07-30,3731.0
2024-07-31,3729.0
2024-08-01,3704.0
2024-08-02,3736.0
2024-08-05,3702.0
2024-08-06,3647.0
2024-08-07,3613.0
2024-08-08,3626.0
2024-08-09,3625.0
2024-08-12,3616.0
2024-08-13,3490.0
2024-08-14,3463.0
2024-08-15,3502.0
2024-08-16,3485.0
2024-08-19,3475.0
2024-08-20,3493.0
2024-08-21,3515.0
2024-08-22,3505.0
2024-08-23,3478.0
2024-08-26,3526.0
2024-08-27,3558.0
2024-08-28,3568.0
2024-08-29,3572.0
2024-08-30,3615.0
2024-09-02,3601.0
2024-09-03,3657.0
2024-09-04,3608.0
2024-09-05,3635.0
2024-09-06,3683.0
2024-09-09,3652.0
2024-09-10,3606.0
2024-09-11,3633.0
2024-09-12,3616.0
2024-09-13,3632.0
2024-09-18,3710.0
2024-09-19,3662.0
2024-09-20,3663.0
2024-09-23,3648.0
2024-09-24,3715.0
2024-09-25,3684.0
2024-09-26,3750.0
2024-09-27,3735.0
2024-09-30,3788.0
2024-10-08,3675.0
2024-10-09,3673.0
2024-10-10,3677.0
2024-10-11,3634.0
2024-10-14,3652.0
2024-10-15,3625.0
2024-10-16,3667.0
2024-10-17,3603.0
2024-10-18,3635.0
2024-10-21,3626.0
2024-10-22,3641.0
2024-10-23,3707.0
2024-10-24,3710.0
2024-10-25,3686.0
2024-10-28,3701.0
2024-10-29,3719.0
