datetime,Y2605
2025-05-20,7662.0
2025-05-21,7660.0
2025-05-22,7586.0
2025-05-23,7570.0
2025-05-26,7530.0
2025-05-27,7510.0
2025-05-28,7492.0
2025-05-29,7478.0
2025-05-30,7422.0
2025-06-03,7428.0
2025-06-04,7402.0
2025-06-05,7404.0
2025-06-06,7438.0
2025-06-09,7436.0
2025-06-10,7434.0
2025-06-11,7390.0
2025-06-12,7394.0
2025-06-13,7444.0
2025-06-16,7576.0
2025-06-17,7614.0
2025-06-18,7680.0
2025-06-19,7736.0
2025-06-20,7736.0
2025-06-23,7730.0
2025-06-24,7606.0
2025-06-25,7626.0
2025-06-26,7586.0
2025-06-27,7610.0
2025-06-30,7608.0
2025-07-01,7616.0
2025-07-02,7624.0
2025-07-03,7634.0
2025-07-04,7624.0
2025-07-07,7604.0
2025-07-08,7634.0
2025-07-09,7604.0
2025-07-10,7598.0
2025-07-11,7626.0
2025-07-14,7628.0
2025-07-15,7628.0
2025-07-16,7654.0
2025-07-17,7668.0
2025-07-18,7734.0
2025-07-21,7688.0
2025-07-22,7674.0
2025-07-23,7688.0
2025-07-24,7736.0
2025-07-25,7738.0
2025-07-28,7738.0
2025-07-29,7822.0
2025-07-30,7832.0
2025-07-31,7808.0
2025-08-01,7848.0
2025-08-04,7848.0
2025-08-05,7952.0
2025-08-06,7964.0
2025-08-07,7962.0
2025-08-08,7968.0
2025-08-11,8026.0
2025-08-12,8058.0
2025-08-13,8118.0
2025-08-14,8078.0
2025-08-15,8098.0
2025-08-18,8134.0
2025-08-19,8206.0
2025-08-20,8124.0
2025-08-21,8100.0
2025-08-22,8142.0
2025-08-25,8180.0
2025-08-26,8156.0
2025-08-27,8120.0
2025-08-28,8104.0
2025-08-29,8066.0
2025-09-01,8054.0
2025-09-02,8068.0
2025-09-03,8070.0
2025-09-04,8066.0
2025-09-05,8136.0
2025-09-08,8124.0
2025-09-09,8112.0
2025-09-10,7964.0
2025-09-11,8026.0
2025-09-12,8018.0
2025-09-15,8076.0
2025-09-16,8122.0
2025-09-17,8098.0
2025-09-18,8022.0
2025-09-19,8052.0
2025-09-22,8078.0
2025-09-23,7848.0
2025-09-24,7852.0
2025-09-25,7930.0
2025-09-26,7926.0
2025-09-29,7912.0
2025-09-30,7896.0
2025-10-09,8074.0
2025-10-10,8052.0
2025-10-13,8032.0
2025-10-14,8018.0
2025-10-15,8050.0
2025-10-16,8062.0
2025-10-17,8042.0
2025-10-20,8102.0
2025-10-21,8114.0
2025-10-22,8068.0
2025-10-23,8022.0
2025-10-24,8016.0
2025-10-27,8068.0
2025-10-28,8002.0
2025-10-29,7960.0
2025-10-30,7984.0
2025-10-31,7958.0
2025-11-03,7920.0
2025-11-04,7938.0
2025-11-05,7950.0
2025-11-06,8006.0
2025-11-07,7960.0
2025-11-10,7998.0
2025-11-11,8026.0
2025-11-12,8064.0
2025-11-13,8094.0
2025-11-14,8028.0
2025-11-17,8044.0
2025-11-18,8092.0
2025-11-19,8156.0
2025-11-20,8050.0
2025-11-21,7982.0
2025-11-24,7962.0
2025-11-25,7946.0
2025-11-26,7950.0
2025-11-27,8002.0
2025-11-28,8040.0
2025-12-01,8086.0
2025-12-02,8096.0
2025-12-03,8094.0
2025-12-04,8070.0
2025-12-05,8080.0
2025-12-08,8032.0
2025-12-09,7984.0
2025-12-10,8000.0
2025-12-11,8036.0
2025-12-12,7994.0
2025-12-15,7940.0
2025-12-16,7872.0
2025-12-17,7822.0
2025-12-18,7802.0
2025-12-19,7712.0
2025-12-22,7772.0
2025-12-23,7772.0
2025-12-24,7764.0
2025-12-25,7824.0
2025-12-26,7836.0
2025-12-29,7818.0
2025-12-30,7878.0
2025-12-31,7862.0
2026-01-05,7856.0
2026-01-06,7912.0
2026-01-07,7958.0
2026-01-08,7944.0
2026-01-09,7994.0
2026-01-12,7994.0
2026-01-13,7986.0
2026-01-14,8000.0
2026-01-15,7938.0
2026-01-16,8016.0
2026-01-19,7996.0
2026-01-20,8032.0
2026-01-21,8044.0
2026-01-22,8084.0
2026-01-23,8094.0
2026-01-26,8226.0
2026-01-27,8258.0
2026-01-28,8326.0
2026-01-29,8382.0
2026-01-30,8282.0
2026-02-02,8092.0
2026-02-03,8086.0
2026-02-04,8140.0
2026-02-05,8104.0
2026-02-06,8102.0
2026-02-09,8114.0
2026-02-10,8098.0
2026-02-11,8110.0
2026-02-12,8082.0
2026-02-13,8054.0
2026-02-24,8140.0
2026-02-25,8228.0
2026-02-26,8198.0
2026-02-27,8226.0
2026-03-02,8260.0
2026-03-03,8350.0
2026-03-04,8370.0
2026-03-05,8370.0
2026-03-06,8412.0
2026-03-09,8672.0
2026-03-10,8444.0
2026-03-11,8570.0
2026-03-12,8632.0
2026-03-13,8690.0
2026-03-16,8716.0
2026-03-17,8644.0
2026-03-18,8540.0
2026-03-19,8616.0
2026-03-20,8628.0
2026-03-23,8740.0
2026-03-24,8594.0
2026-03-25,8550.0
2026-03-26,8646.0
2026-03-27,8688.0
2026-03-30,8714.0
2026-03-31,8668.0
2026-04-01,8624.0
2026-04-02,8686.0
2026-04-03,8694.0
2026-04-07,8750.0
2026-04-08,8482.0
2026-04-09,8508.0
2026-04-10,8515.0
2026-04-13,8505.0
2026-04-14,8476.0
2026-04-15,8446.0
2026-04-16,8469.0
2026-04-17,8481.0
2026-04-20,8489.0
2026-04-21,8594.0
2026-04-22,8639.0
2026-04-23,8631.0
2026-04-24,8537.0
2026-04-27,8541.0
2026-04-28,8561.0
2026-04-29,8568.0
2026-04-30,8603.0
2026-05-06,8609.0
2026-05-07,8534.0
2026-05-08,8500.0
2026-05-11,8300.0
2026-05-12,8300.0
2026-05-13,8400.0
2026-05-19,8400.0
