datetime,SA2005
2019-12-06,1561.0
2019-12-09,1572.0
2019-12-10,1634.0
2019-12-11,1649.0
2019-12-12,1630.0
2019-12-13,1630.0
2019-12-16,1632.0
2019-12-17,1623.0
2019-12-18,1628.0
2019-12-19,1626.0
2019-12-20,1611.0
2019-12-23,1601.0
2019-12-24,1604.0
2019-12-25,1603.0
2019-12-26,1609.0
2019-12-27,1608.0
2019-12-30,1633.0
2019-12-31,1633.0
2020-01-02,1625.0
2020-01-03,1629.0
2020-01-06,1638.0
2020-01-07,1627.0
2020-01-08,1630.0
2020-01-09,1632.0
2020-01-10,1658.0
2020-01-13,1653.0
2020-01-14,1653.0
2020-01-15,1665.0
2020-01-16,1668.0
2020-01-17,1677.0
2020-01-20,1667.0
2020-01-21,1655.0
2020-01-22,1642.0
2020-01-23,1615.0
2020-02-03,1519.0
2020-02-04,1561.0
2020-02-05,1560.0
2020-02-06,1574.0
2020-02-07,1574.0
2020-02-10,1568.0
2020-02-11,1579.0
2020-02-12,1578.0
2020-02-13,1581.0
2020-02-14,1578.0
2020-02-17,1586.0
2020-02-18,1583.0
2020-02-19,1587.0
2020-02-20,1586.0
2020-02-21,1579.0
2020-02-24,1587.0
2020-02-25,1605.0
2020-02-26,1581.0
2020-02-27,1575.0
2020-02-28,1565.0
2020-03-02,1587.0
2020-03-03,1571.0
2020-03-04,1574.0
2020-03-05,1556.0
2020-03-06,1553.0
2020-03-09,1527.0
2020-03-10,1539.0
2020-03-11,1542.0
2020-03-12,1522.0
2020-03-13,1518.0
2020-03-16,1505.0
2020-03-17,1486.0
2020-03-18,1466.0
2020-03-19,1441.0
2020-03-20,1450.0
2020-03-23,1427.0
2020-03-24,1424.0
2020-03-25,1419.0
2020-03-26,1396.0
2020-03-27,1383.0
2020-03-30,1339.0
2020-03-31,1365.0
2020-04-01,1371.0
2020-04-02,1385.0
2020-04-03,1371.0
2020-04-07,1372.0
2020-04-08,1371.0
2020-04-09,1384.0
2020-04-10,1360.0
2020-04-13,1335.0
2020-04-14,1347.0
2020-04-15,1388.0
2020-04-16,1355.0
2020-04-17,1356.0
2020-04-20,1343.0
2020-04-21,1312.0
2020-04-22,1308.0
2020-04-23,1320.0
2020-04-24,1308.0
2020-04-27,1305.0
2020-04-28,1269.0
2020-04-29,1229.0
2020-04-30,1200.0
2020-05-06,1201.0
2020-05-07,1200.0
2020-05-08,1219.0
2020-05-11,1167.0
2020-05-12,1175.0
2020-05-13,1146.0
2020-05-14,1145.0
2020-05-15,1234.0
2020-05-18,1150.0
