datetime,B2301
2022-01-27,4146.0
2022-01-28,4160.0
2022-02-08,4450.0
2022-02-09,4262.0
2022-02-10,4362.0
2022-02-11,4380.0
2022-02-14,4374.0
2022-02-15,4310.0
2022-02-16,4352.0
2022-02-17,4407.0
2022-02-18,4440.0
2022-02-21,4439.0
2022-02-22,4455.0
2022-02-23,4505.0
2022-02-24,4700.0
2022-02-25,4547.0
2022-02-28,4572.0
2022-03-01,4660.0
2022-03-02,4698.0
2022-03-03,4723.0
2022-03-04,4649.0
2022-03-07,4701.0
2022-03-08,4719.0
2022-03-09,4820.0
2022-03-10,4739.0
2022-03-11,4725.0
2022-03-14,4705.0
2022-03-15,4654.0
2022-03-16,4681.0
2022-03-17,4686.0
2022-03-18,4778.0
2022-03-21,4770.0
2022-03-22,4906.0
2022-03-23,4880.0
2022-03-24,4950.0
2022-03-25,4900.0
2022-03-28,4888.0
2022-03-29,4828.0
2022-03-30,4685.0
2022-03-31,4788.0
2022-04-01,4676.0
2022-04-06,4724.0
2022-04-07,4697.0
2022-04-08,4762.0
2022-04-12,4806.0
2022-04-14,4795.0
2022-04-15,4834.0
2022-04-18,4899.0
2022-04-19,4938.0
2022-04-20,4960.0
2022-04-21,5002.0
2022-04-22,4976.0
2022-04-25,4890.0
2022-04-26,4931.0
2022-04-28,5038.0
2022-04-29,5022.0
2022-05-06,4901.0
2022-05-09,4830.0
2022-05-10,4850.0
2022-05-11,4852.0
2022-05-12,4885.0
2022-05-13,4981.0
2022-05-16,5065.0
2022-05-17,5083.0
2022-05-18,5062.0
2022-05-19,5057.0
2022-05-20,5091.0
2022-05-23,5121.0
2022-05-24,5068.0
2022-05-25,5107.0
2022-05-26,5076.0
2022-05-27,5172.0
2022-05-30,5150.0
2022-05-31,5168.0
2022-06-01,5087.0
2022-06-02,5105.0
2022-06-06,5140.0
2022-06-07,5140.0
2022-06-08,5198.0
2022-06-09,5180.0
2022-06-10,5206.0
2022-06-13,5126.0
2022-06-14,5090.0
2022-06-15,5057.0
2022-06-16,5045.0
2022-06-17,5074.0
2022-06-20,5002.0
2022-06-21,4895.0
2022-06-22,4792.0
2022-06-23,4615.0
2022-06-24,4593.0
2022-06-27,4630.0
2022-06-28,4756.0
2022-06-29,4710.0
2022-06-30,4716.0
2022-07-01,4548.0
2022-07-04,4461.0
2022-07-05,4342.0
2022-07-06,4260.0
2022-07-07,4306.0
2022-07-08,4395.0
2022-07-11,4464.0
2022-07-12,4438.0
2022-07-13,4321.0
2022-07-14,4365.0
2022-07-15,4332.0
2022-07-18,4414.0
2022-07-19,4405.0
2022-07-20,4343.0
2022-07-21,4346.0
2022-07-22,4265.0
2022-07-25,4310.0
2022-07-26,4418.0
2022-07-27,4423.0
2022-07-28,4538.0
2022-07-29,4570.0
2022-08-01,4548.0
2022-08-02,4484.0
2022-08-03,4532.0
2022-08-04,4388.0
2022-08-05,4527.0
2022-08-08,4535.0
2022-08-09,4516.0
2022-08-10,4579.0
2022-08-11,4598.0
2022-08-12,4654.0
2022-08-15,4592.0
2022-08-16,4582.0
2022-08-17,4588.0
2022-08-18,4549.0
2022-08-19,4586.0
2022-08-22,4618.0
2022-08-23,4744.0
2022-08-24,4807.0
2022-08-25,4784.0
2022-08-26,4724.0
2022-08-29,4758.0
2022-08-30,4711.0
2022-08-31,4729.0
2022-09-01,4646.0
2022-09-02,4660.0
2022-09-05,4739.0
2022-09-06,4703.0
2022-09-07,4644.0
2022-09-08,4623.0
2022-09-09,4642.0
2022-09-13,4871.0
2022-09-14,4844.0
2022-09-15,4772.0
2022-09-16,4760.0
2022-09-19,4756.0
2022-09-20,4750.0
2022-09-21,4818.0
2022-09-22,4826.0
2022-09-23,4790.0
2022-09-26,4705.0
2022-09-27,4742.0
2022-09-28,4766.0
2022-09-29,4852.0
2022-09-30,4804.0
2022-10-10,4840.0
2022-10-11,4813.0
2022-10-12,4860.0
2022-10-13,4869.0
2022-10-14,4941.0
2022-10-17,4832.0
2022-10-18,4825.0
2022-10-19,4817.0
2022-10-20,4849.0
2022-10-21,4834.0
2022-10-24,4861.0
2022-10-25,4862.0
2022-10-26,4908.0
2022-10-27,4872.0
2022-10-28,4801.0
2022-10-31,4823.0
2022-11-01,4983.0
2022-11-02,5000.0
2022-11-03,5008.0
2022-11-04,5008.0
2022-11-07,5010.0
2022-11-08,5023.0
2022-11-09,4993.0
2022-11-10,5020.0
2022-11-11,4989.0
2022-11-14,4886.0
2022-11-15,4881.0
2022-11-16,4908.0
2022-11-17,4888.0
2022-11-18,4859.0
2022-11-21,4862.0
2022-11-22,4881.0
2022-11-23,4952.0
2022-11-24,5024.0
2022-11-25,5065.0
2022-11-28,4953.0
2022-11-29,5022.0
2022-11-30,5096.0
2022-12-01,5074.0
2022-12-02,5040.0
2022-12-05,5029.0
2022-12-06,5026.0
2022-12-07,5033.0
2022-12-08,5162.0
2022-12-09,5174.0
2022-12-12,5054.0
2022-12-13,5079.0
2022-12-14,4997.0
2022-12-15,4942.0
2022-12-16,4931.0
2022-12-19,4883.0
2022-12-20,4885.0
2022-12-21,4932.0
2022-12-22,4899.0
2022-12-23,4945.0
2022-12-26,5035.0
2022-12-27,5137.0
2022-12-28,5127.0
2022-12-29,5042.0
2022-12-30,5129.0
2023-01-03,5110.0
2023-01-04,5070.0
2023-01-05,4980.0
2023-01-09,5090.0
2023-01-10,4880.0
2023-01-16,5052.0
