datetime,SA2305
2022-05-19,2476.0
2022-05-20,2477.0
2022-05-23,2504.0
2022-05-24,2480.0
2022-05-25,2502.0
2022-05-26,2513.0
2022-05-27,2590.0
2022-05-30,2673.0
2022-05-31,2651.0
2022-06-01,2668.0
2022-06-02,2694.0
2022-06-06,2652.0
2022-06-07,2739.0
2022-06-08,2802.0
2022-06-09,2779.0
2022-06-10,2751.0
2022-06-13,2715.0
2022-06-14,2601.0
2022-06-15,2587.0
2022-06-16,2601.0
2022-06-17,2579.0
2022-06-20,2570.0
2022-06-21,2522.0
2022-06-22,2400.0
2022-06-23,2450.0
2022-06-24,2444.0
2022-06-27,2470.0
2022-06-28,2538.0
2022-06-29,2538.0
2022-06-30,2540.0
2022-07-01,2430.0
2022-07-04,2351.0
2022-07-05,2308.0
2022-07-06,2222.0
2022-07-07,2266.0
2022-07-08,2170.0
2022-07-11,2174.0
2022-07-12,2094.0
2022-07-13,2067.0
2022-07-14,2029.0
2022-07-15,2019.0
2022-07-18,2107.0
2022-07-19,2037.0
2022-07-20,2078.0
2022-07-21,2048.0
2022-07-22,1995.0
2022-07-25,2009.0
2022-07-26,2018.0
2022-07-27,2019.0
2022-07-28,2148.0
2022-07-29,2225.0
2022-08-01,2163.0
2022-08-02,2197.0
2022-08-03,2192.0
2022-08-04,2067.0
2022-08-05,2068.0
2022-08-08,2171.0
2022-08-09,2178.0
2022-08-10,2141.0
2022-08-11,2177.0
2022-08-12,2169.0
2022-08-15,2161.0
2022-08-16,2155.0
2022-08-17,2114.0
2022-08-18,2125.0
2022-08-19,2063.0
2022-08-22,2129.0
2022-08-23,2144.0
2022-08-24,2128.0
2022-08-25,2142.0
2022-08-26,2154.0
2022-08-29,2139.0
2022-08-30,2119.0
2022-08-31,2130.0
2022-09-01,2104.0
2022-09-02,2069.0
2022-09-05,2096.0
2022-09-06,2050.0
2022-09-07,2017.0
2022-09-08,2028.0
2022-09-09,2046.0
2022-09-13,2090.0
2022-09-14,2047.0
2022-09-15,2044.0
2022-09-16,2034.0
2022-09-19,2037.0
2022-09-20,2048.0
2022-09-21,2040.0
2022-09-22,2084.0
2022-09-23,2076.0
2022-09-26,2098.0
2022-09-27,2147.0
2022-09-28,2139.0
2022-09-29,2160.0
2022-09-30,2201.0
2022-10-10,2243.0
2022-10-11,2187.0
2022-10-12,2214.0
2022-10-13,2194.0
2022-10-14,2192.0
2022-10-17,2184.0
2022-10-18,2165.0
2022-10-19,2169.0
2022-10-20,2153.0
2022-10-21,2153.0
2022-10-24,2137.0
2022-10-25,2100.0
2022-10-26,2114.0
2022-10-27,2105.0
2022-10-28,2068.0
2022-10-31,2008.0
2022-11-01,2052.0
2022-11-02,2038.0
2022-11-03,2021.0
2022-11-04,2097.0
2022-11-07,2096.0
2022-11-08,2134.0
2022-11-09,2155.0
2022-11-10,2145.0
2022-11-11,2219.0
2022-11-14,2256.0
2022-11-15,2260.0
2022-11-16,2344.0
2022-11-17,2378.0
2022-11-18,2353.0
2022-11-21,2333.0
2022-11-22,2329.0
2022-11-23,2351.0
2022-11-24,2412.0
2022-11-25,2428.0
2022-11-28,2461.0
2022-11-29,2528.0
2022-11-30,2531.0
2022-12-01,2543.0
2022-12-02,2580.0
2022-12-05,2519.0
2022-12-06,2520.0
2022-12-07,2521.0
2022-12-08,2570.0
2022-12-09,2640.0
2022-12-12,2654.0
2022-12-13,2660.0
2022-12-14,2662.0
2022-12-15,2747.0
2022-12-16,2754.0
2022-12-19,2677.0
2022-12-20,2724.0
2022-12-21,2740.0
2022-12-22,2648.0
2022-12-23,2652.0
2022-12-26,2688.0
2022-12-27,2730.0
2022-12-28,2731.0
2022-12-29,2708.0
2022-12-30,2740.0
2023-01-03,2769.0
2023-01-04,2773.0
2023-01-05,2777.0
2023-01-06,2819.0
2023-01-09,2793.0
2023-01-10,2783.0
2023-01-11,2863.0
2023-01-12,2904.0
2023-01-13,2956.0
2023-01-16,2919.0
2023-01-17,2927.0
2023-01-18,2954.0
2023-01-19,2987.0
2023-01-20,3022.0
2023-01-30,2990.0
2023-01-31,2987.0
2023-02-01,3012.0
2023-02-02,2974.0
2023-02-03,2994.0
2023-02-06,2969.0
2023-02-07,2929.0
2023-02-08,2957.0
2023-02-09,2929.0
2023-02-10,2899.0
2023-02-13,2896.0
2023-02-14,2936.0
2023-02-15,2877.0
2023-02-16,2909.0
2023-02-17,2928.0
2023-02-20,2891.0
2023-02-21,2985.0
2023-02-22,2982.0
2023-02-23,2956.0
2023-02-24,2918.0
2023-02-27,2902.0
2023-02-28,2929.0
2023-03-01,2963.0
2023-03-02,2970.0
2023-03-03,2986.0
2023-03-06,2938.0
2023-03-07,2919.0
2023-03-08,2888.0
2023-03-09,2899.0
2023-03-10,2893.0
2023-03-13,2861.0
2023-03-14,2827.0
2023-03-15,2855.0
2023-03-16,2808.0
2023-03-17,2837.0
2023-03-20,2843.0
2023-03-21,2806.0
2023-03-22,2835.0
2023-03-23,2838.0
2023-03-24,2875.0
2023-03-27,2853.0
2023-03-28,2843.0
2023-03-29,2814.0
2023-03-30,2817.0
2023-03-31,2817.0
2023-04-03,2802.0
2023-04-04,2807.0
2023-04-06,2793.0
2023-04-07,2793.0
2023-04-10,2747.0
2023-04-11,2740.0
2023-04-12,2756.0
2023-04-13,2755.0
2023-04-14,2769.0
2023-04-17,2757.0
2023-04-18,2763.0
2023-04-19,2750.0
2023-04-20,2697.0
2023-04-21,2666.0
2023-04-24,2580.0
2023-04-25,2602.0
2023-04-26,2639.0
2023-04-27,2639.0
2023-04-28,2654.0
2023-05-04,2570.0
2023-05-05,2460.0
2023-05-08,2390.0
2023-05-09,2368.0
2023-05-10,2360.0
2023-05-11,2222.0
2023-05-12,2178.0
2023-05-15,2100.0
2023-05-16,2096.0
2023-05-17,2111.0
