datetime,A2305
2022-05-19,5817.0
2022-05-20,5851.0
2022-05-23,5852.0
2022-05-24,5860.0
2022-05-25,5911.0
2022-05-26,5894.0
2022-05-27,5963.0
2022-05-30,5996.0
2022-06-01,5960.0
2022-06-02,5978.0
2022-06-06,5953.0
2022-06-07,5951.0
2022-06-08,5961.0
2022-06-09,5972.0
2022-06-10,5940.0
2022-06-13,5920.0
2022-06-14,5938.0
2022-06-15,5924.0
2022-06-16,5874.0
2022-06-17,5937.0
2022-06-20,5912.0
2022-06-21,5907.0
2022-06-22,5890.0
2022-06-23,5843.0
2022-06-24,5768.0
2022-06-27,5770.0
2022-06-28,5822.0
2022-06-29,5818.0
2022-06-30,5820.0
2022-07-01,5772.0
2022-07-04,5696.0
2022-07-05,5671.0
2022-07-06,5600.0
2022-07-07,5623.0
2022-07-08,5635.0
2022-07-11,5623.0
2022-07-12,5611.0
2022-07-13,5576.0
2022-07-14,5613.0
2022-07-15,5577.0
2022-07-18,5590.0
2022-07-19,5585.0
2022-07-20,5583.0
2022-07-21,5612.0
2022-07-22,5458.0
2022-07-25,5454.0
2022-07-26,5544.0
2022-07-27,5549.0
2022-07-28,5627.0
2022-07-29,5671.0
2022-08-01,5772.0
2022-08-02,5722.0
2022-08-03,5708.0
2022-08-04,5650.0
2022-08-05,5677.0
2022-08-08,5679.0
2022-08-09,5671.0
2022-08-10,5693.0
2022-08-11,5719.0
2022-08-12,5718.0
2022-08-15,5680.0
2022-08-16,5672.0
2022-08-17,5669.0
2022-08-18,5648.0
2022-08-19,5570.0
2022-08-22,5526.0
2022-08-23,5564.0
2022-08-24,5582.0
2022-08-25,5584.0
2022-08-26,5653.0
2022-08-29,5670.0
2022-08-30,5674.0
2022-08-31,5656.0
2022-09-01,5641.0
2022-09-02,5626.0
2022-09-05,5591.0
2022-09-06,5595.0
2022-09-07,5565.0
2022-09-08,5586.0
2022-09-09,5532.0
2022-09-13,5721.0
2022-09-14,5684.0
2022-09-15,5683.0
2022-09-16,5702.0
2022-09-19,5714.0
2022-09-20,5717.0
2022-09-21,5818.0
2022-09-22,5816.0
2022-09-23,5824.0
2022-09-26,5776.0
2022-09-27,5790.0
2022-09-28,5778.0
2022-09-29,5818.0
2022-09-30,5796.0
2022-10-10,5748.0
2022-10-11,5725.0
2022-10-12,5697.0
2022-10-13,5686.0
2022-10-14,5699.0
2022-10-17,5674.0
2022-10-18,5698.0
2022-10-19,5672.0
2022-10-20,5576.0
2022-10-21,5558.0
2022-10-24,5520.0
2022-10-25,5507.0
2022-10-26,5506.0
2022-10-27,5525.0
2022-10-28,5513.0
2022-10-31,5505.0
2022-11-01,5531.0
2022-11-02,5527.0
2022-11-03,5539.0
2022-11-04,5502.0
2022-11-07,5510.0
2022-11-08,5482.0
2022-11-09,5508.0
2022-11-10,5588.0
2022-11-11,5571.0
2022-11-14,5511.0
2022-11-15,5513.0
2022-11-16,5533.0
2022-11-17,5526.0
2022-11-18,5561.0
2022-11-21,5504.0
2022-11-22,5502.0
2022-11-23,5490.0
2022-11-24,5525.0
2022-11-25,5500.0
2022-11-28,5511.0
2022-11-29,5506.0
2022-11-30,5514.0
2022-12-01,5495.0
2022-12-02,5474.0
2022-12-05,5510.0
