datetime,SM1905
2018-05-18,7192.0
2018-05-21,7210.0
2018-05-22,7164.0
2018-05-23,7080.0
2018-05-24,7094.0
2018-05-25,7094.0
2018-05-28,7094.0
2018-05-29,7102.0
2018-05-30,7108.0
2018-05-31,7126.0
2018-06-01,7170.0
2018-06-04,7134.0
2018-06-05,7142.0
2018-06-06,7116.0
2018-06-07,7110.0
2018-06-08,7210.0
2018-06-11,7210.0
2018-06-12,7244.0
2018-06-13,7222.0
2018-06-14,7208.0
2018-06-15,7242.0
2018-06-19,7122.0
2018-06-20,7176.0
2018-06-21,7270.0
2018-06-22,7282.0
2018-06-25,7316.0
2018-06-26,7272.0
2018-06-27,7258.0
2018-06-28,7390.0
2018-06-29,7436.0
2018-07-02,7436.0
2018-07-03,7344.0
2018-07-04,7260.0
2018-07-05,7278.0
2018-07-06,7260.0
2018-07-09,7290.0
2018-07-10,7294.0
2018-07-11,7258.0
2018-07-12,7400.0
2018-07-13,7342.0
2018-07-17,7314.0
2018-07-18,7306.0
2018-07-19,7314.0
2018-07-20,7390.0
2018-07-23,7394.0
2018-07-24,7486.0
2018-07-25,7520.0
2018-07-26,7566.0
2018-07-27,7536.0
2018-07-30,7610.0
2018-07-31,7650.0
2018-08-01,7602.0
2018-08-02,7598.0
2018-08-03,7696.0
2018-08-06,7904.0
2018-08-07,7838.0
2018-08-08,7980.0
2018-08-09,7934.0
2018-08-10,8084.0
2018-08-13,8144.0
2018-08-14,8140.0
2018-08-15,8244.0
2018-08-16,8350.0
2018-08-17,8496.0
2018-08-20,8510.0
2018-08-21,8338.0
2018-08-22,8462.0
2018-08-23,8460.0
2018-08-24,8422.0
2018-08-27,8358.0
2018-08-28,8430.0
2018-08-29,8412.0
2018-08-30,8280.0
2018-08-31,8150.0
2018-09-03,8140.0
2018-09-04,8056.0
2018-09-05,8066.0
2018-09-06,7974.0
2018-09-07,7980.0
2018-09-10,8036.0
2018-09-11,7932.0
2018-09-12,7952.0
2018-09-13,7972.0
2018-09-14,7998.0
2018-09-17,7950.0
2018-09-18,8080.0
2018-09-19,8024.0
2018-09-20,8016.0
2018-09-21,8176.0
2018-09-25,8088.0
2018-09-26,8090.0
2018-09-27,8030.0
2018-09-28,8036.0
2018-10-08,8018.0
2018-10-09,8056.0
2018-10-10,8072.0
2018-10-11,8058.0
2018-10-12,8180.0
2018-10-15,8218.0
2018-10-16,8236.0
2018-10-17,8242.0
2018-10-18,8260.0
2018-10-19,8250.0
2018-10-22,8304.0
2018-10-23,8262.0
2018-10-24,8326.0
2018-10-25,8374.0
2018-10-26,8380.0
2018-10-29,8324.0
2018-10-30,8314.0
2018-10-31,8262.0
2018-11-01,8188.0
2018-11-02,8128.0
2018-11-05,8084.0
2018-11-06,8132.0
2018-11-07,8068.0
2018-11-08,8090.0
2018-11-09,8036.0
2018-11-12,7736.0
2018-11-13,7668.0
2018-11-14,7766.0
2018-11-15,7798.0
2018-11-16,7946.0
2018-11-19,7998.0
2018-11-20,7892.0
2018-11-21,7858.0
2018-11-22,7786.0
2018-11-23,7732.0
2018-11-26,7302.0
2018-11-27,7218.0
2018-11-28,7260.0
2018-11-29,7274.0
2018-11-30,7276.0
2018-12-03,7400.0
2018-12-04,7506.0
2018-12-05,7670.0
