datetime,PP2301
2022-01-18,8359.0
2022-01-19,8470.0
2022-01-20,8486.0
2022-01-21,8491.0
2022-01-24,8425.0
2022-01-25,8418.0
2022-01-26,8538.0
2022-01-27,8506.0
2022-01-28,8422.0
2022-02-07,8857.0
2022-02-08,8720.0
2022-02-09,8485.0
2022-02-10,8507.0
2022-02-11,8380.0
2022-02-14,8428.0
2022-02-15,8425.0
2022-02-16,8382.0
2022-02-17,8236.0
2022-02-18,8287.0
2022-02-21,8275.0
2022-02-22,8272.0
2022-02-23,8336.0
2022-02-24,8407.0
2022-02-25,8450.0
2022-02-28,8567.0
2022-03-01,8610.0
2022-03-02,8800.0
2022-03-03,8989.0
2022-03-04,8800.0
2022-03-07,9242.0
2022-03-08,9174.0
2022-03-09,9486.0
2022-03-10,9083.0
2022-03-11,9021.0
2022-03-14,8777.0
2022-03-15,8526.0
2022-03-16,8650.0
2022-03-17,8659.0
2022-03-18,8780.0
2022-03-21,8785.0
2022-03-22,8800.0
2022-03-23,8838.0
2022-03-24,8876.0
2022-03-25,8965.0
2022-03-28,9013.0
2022-03-29,9065.0
2022-03-30,9015.0
2022-03-31,8864.0
2022-04-01,8790.0
2022-04-06,8815.0
2022-04-07,8780.0
2022-04-08,8737.0
2022-04-11,8580.0
2022-04-12,8721.0
2022-04-13,8663.0
2022-04-14,8715.0
2022-04-15,8663.0
2022-04-18,8805.0
2022-04-19,8788.0
2022-04-20,8791.0
2022-04-21,8794.0
2022-04-22,8683.0
2022-04-25,8431.0
2022-04-26,8462.0
2022-04-27,8509.0
2022-04-28,8525.0
2022-04-29,8642.0
2022-05-05,8783.0
2022-05-06,8722.0
2022-05-09,8591.0
2022-05-10,8517.0
2022-05-11,8580.0
2022-05-12,8490.0
2022-05-13,8493.0
2022-05-16,8511.0
2022-05-17,8541.0
2022-05-18,8459.0
2022-05-19,8408.0
2022-05-20,8355.0
2022-05-23,8387.0
2022-05-24,8345.0
2022-05-25,8421.0
2022-05-26,8635.0
2022-05-27,8638.0
2022-05-30,8709.0
2022-05-31,8804.0
2022-06-01,8819.0
2022-06-02,8810.0
2022-06-06,8846.0
2022-06-07,8833.0
2022-06-08,8925.0
2022-06-09,8908.0
2022-06-10,8868.0
2022-06-13,8775.0
2022-06-14,8777.0
2022-06-15,8690.0
2022-06-16,8609.0
2022-06-17,8538.0
2022-06-20,8486.0
