datetime,V2005
2019-05-20,6650.0
2019-05-21,6675.0
2019-05-22,6650.0
2019-05-23,6570.0
2019-05-24,6555.0
2019-05-27,6520.0
2019-05-28,6550.0
2019-05-29,6590.0
2019-05-30,6590.0
2019-05-31,6550.0
2019-06-03,6470.0
2019-06-04,6380.0
2019-06-05,6345.0
2019-06-06,6350.0
2019-06-10,6330.0
2019-06-11,6355.0
2019-06-12,6370.0
2019-06-13,6415.0
2019-06-14,6385.0
2019-06-17,6400.0
2019-06-18,6390.0
2019-06-19,6470.0
2019-06-20,6500.0
2019-06-21,6515.0
2019-06-24,6605.0
2019-06-25,6555.0
2019-06-26,6545.0
2019-06-27,6485.0
2019-06-28,6465.0
2019-07-01,6570.0
2019-07-02,6595.0
2019-07-03,6590.0
2019-07-04,6595.0
2019-07-05,6580.0
2019-07-08,6575.0
2019-07-09,6570.0
2019-07-10,6555.0
2019-07-11,6570.0
2019-07-12,6485.0
2019-07-15,6535.0
2019-07-16,6495.0
2019-07-17,6500.0
2019-07-18,6495.0
2019-07-19,6460.0
2019-07-22,6490.0
2019-07-23,6505.0
2019-07-24,6495.0
2019-07-25,6480.0
2019-07-26,6530.0
2019-07-29,6545.0
2019-07-30,6540.0
2019-07-31,6535.0
2019-08-01,6555.0
2019-08-02,6480.0
2019-08-05,6395.0
2019-08-06,6385.0
2019-08-07,6395.0
2019-08-08,6405.0
2019-08-09,6470.0
2019-08-12,6525.0
2019-08-13,6505.0
2019-08-14,6540.0
2019-08-15,6550.0
2019-08-16,6495.0
2019-08-19,6545.0
2019-08-20,6560.0
2019-08-21,6560.0
2019-08-22,6485.0
2019-08-23,6410.0
2019-08-26,6400.0
2019-08-27,6375.0
2019-08-28,6340.0
2019-08-29,6285.0
2019-08-30,6305.0
2019-09-02,6340.0
2019-09-03,6340.0
2019-09-04,6370.0
2019-09-05,6350.0
2019-09-06,6340.0
2019-09-09,6425.0
2019-09-10,6400.0
2019-09-11,6405.0
2019-09-12,6395.0
2019-09-16,6470.0
2019-09-17,6495.0
2019-09-18,6460.0
2019-09-19,6365.0
2019-09-20,6350.0
