datetime,J1905
2018-05-16,2031.5
2018-05-17,2029.0
2018-05-18,2008.0
2018-05-21,1980.0
2018-05-22,1957.5
2018-05-23,1907.0
2018-05-24,1915.0
2018-05-25,1900.0
2018-05-28,1920.0
2018-05-29,1970.0
2018-05-30,1973.0
2018-05-31,1983.0
2018-06-01,1985.5
2018-06-04,1929.5
2018-06-05,1945.5
2018-06-06,1930.0
2018-06-07,1979.5
2018-06-08,1978.0
2018-06-11,1956.5
2018-06-12,2016.0
2018-06-13,1995.0
2018-06-14,2037.0
2018-06-15,2045.5
2018-06-19,1935.0
2018-06-20,1981.0
2018-06-21,1975.0
2018-06-22,1935.0
2018-06-25,1940.0
2018-06-26,1892.0
2018-06-27,1912.5
2018-06-28,1935.0
2018-06-29,1988.0
2018-07-02,1914.0
2018-07-03,1919.5
2018-07-04,1939.0
2018-07-05,1910.0
2018-07-06,1910.0
2018-07-09,1930.5
2018-07-10,1925.0
2018-07-11,1919.5
2018-07-12,1955.0
2018-07-13,1927.5
2018-07-16,1919.0
2018-07-17,1947.0
2018-07-18,1938.0
2018-07-19,1977.5
2018-07-20,2008.0
2018-07-23,2015.0
2018-07-24,2030.0
2018-07-25,2050.0
2018-07-26,2077.0
2018-07-27,2108.5
2018-07-30,2155.5
2018-07-31,2143.5
2018-08-01,2127.5
2018-08-02,2159.0
2018-08-03,2258.0
2018-08-06,2303.5
2018-08-07,2338.0
2018-08-08,2355.0
2018-08-09,2350.0
2018-08-10,2327.5
2018-08-13,2378.5
2018-08-14,2355.5
2018-08-15,2373.5
2018-08-16,2427.0
2018-08-17,2538.0
2018-08-20,2548.0
2018-08-21,2479.0
2018-08-22,2512.5
2018-08-23,2421.5
2018-08-24,2458.5
2018-08-27,2427.5
2018-08-28,2488.0
2018-08-29,2472.0
2018-08-30,2373.0
2018-08-31,2338.0
2018-09-03,2278.5
2018-09-04,2268.0
2018-09-05,2273.0
2018-09-06,2305.0
2018-09-07,2258.0
2018-09-10,2308.0
2018-09-11,2199.0
2018-09-12,2146.0
2018-09-13,2168.0
2018-09-14,2174.0
2018-09-17,2207.0
2018-09-18,2201.5
2018-09-19,2224.0
2018-09-20,2221.0
2018-09-21,2277.5
2018-09-25,2223.0
2018-09-26,2188.0
2018-09-27,2148.0
2018-09-28,2160.0
2018-10-08,2191.0
2018-10-09,2272.5
2018-10-10,2317.0
2018-10-11,2304.0
2018-10-12,2375.0
2018-10-15,2338.0
2018-10-16,2315.0
2018-10-17,2350.0
2018-10-18,2262.0
2018-10-19,2231.5
2018-10-22,2246.0
2018-10-23,2247.0
2018-10-24,2284.5
2018-10-25,2312.0
