datetime,PR2509
2024-09-19,6106.0
2024-09-20,6168.0
2024-09-23,6092.0
2024-09-24,6226.0
2024-09-25,6308.0
2024-09-30,6556.0
2024-10-08,6630.0
2024-10-09,6534.0
2024-10-10,6530.0
2024-10-11,6544.0
2024-10-14,6512.0
2024-10-15,6374.0
2024-10-16,6380.0
2024-10-17,6278.0
2024-10-18,6296.0
2024-10-21,6256.0
2024-10-25,6298.0
2024-10-28,6358.0
2024-10-29,6310.0
2024-10-30,6298.0
2024-11-01,6408.0
2024-11-04,6380.0
2024-11-07,6424.0
2024-11-11,6314.0
2024-11-12,6324.0
2024-11-13,6336.0
2024-11-15,6298.0
2024-11-18,6290.0
2024-11-21,6362.0
2024-11-25,6350.0
2024-11-26,6318.0
2024-11-28,6298.0
2024-11-29,6298.0
2024-12-02,6350.0
2024-12-03,6356.0
2024-12-05,6298.0
2024-12-06,6298.0
2024-12-09,6320.0
2024-12-10,6370.0
2024-12-12,6424.0
2024-12-13,6450.0
2024-12-16,6520.0
2024-12-17,6480.0
2024-12-18,6480.0
2024-12-20,6396.0
2024-12-24,6436.0
2024-12-26,6358.0
2024-12-31,6386.0
2025-01-06,6484.0
2025-01-07,6360.0
2025-01-08,6382.0
2025-01-09,6438.0
2025-01-13,6572.0
2025-01-14,6542.0
2025-01-15,6574.0
2025-01-16,6562.0
2025-01-17,6542.0
2025-01-20,6480.0
2025-01-21,6552.0
2025-01-22,6478.0
2025-01-23,6436.0
2025-01-24,6450.0
2025-01-27,6408.0
2025-02-05,6398.0
2025-02-06,6386.0
2025-02-07,6480.0
2025-02-10,6490.0
2025-02-12,6488.0
2025-02-13,6408.0
2025-02-14,6454.0
2025-02-17,6454.0
2025-02-18,6466.0
2025-02-19,6478.0
2025-02-20,6476.0
2025-02-21,6476.0
2025-02-24,6438.0
2025-02-25,6444.0
2025-02-26,6354.0
2025-02-27,6374.0
2025-02-28,6318.0
2025-03-03,6328.0
2025-03-04,6240.0
2025-03-05,6220.0
2025-03-06,6162.0
2025-03-07,6168.0
2025-03-10,6158.0
2025-03-11,6112.0
2025-03-12,6034.0
2025-03-13,6080.0
2025-03-14,6130.0
2025-03-17,6128.0
2025-03-18,6152.0
2025-03-19,6118.0
2025-03-20,6128.0
2025-03-21,6120.0
2025-03-24,6162.0
2025-03-25,6170.0
2025-03-26,6194.0
2025-03-27,6202.0
2025-03-28,6174.0
2025-03-31,6128.0
2025-04-01,6174.0
2025-04-02,6168.0
2025-04-03,6084.0
2025-04-07,5736.0
2025-04-08,5598.0
2025-04-09,5410.0
2025-04-10,5652.0
2025-04-11,5666.0
2025-04-14,5634.0
2025-04-15,5576.0
2025-04-16,5486.0
2025-04-17,5548.0
2025-04-18,5564.0
2025-04-21,5610.0
2025-04-22,5570.0
2025-04-23,5664.0
2025-04-24,5618.0
2025-04-25,5650.0
2025-04-28,5704.0
2025-04-29,5672.0
2025-04-30,5676.0
2025-05-06,5610.0
2025-05-07,5702.0
2025-05-08,5754.0
2025-05-09,5786.0
2025-05-12,5894.0
2025-05-13,5958.0
2025-05-14,6108.0
2025-05-15,6040.0
2025-05-16,6036.0
2025-05-19,6040.0
2025-05-20,5974.0
2025-05-21,6026.0
2025-05-22,5958.0
2025-05-23,5952.0
2025-05-26,5944.0
2025-05-27,5944.0
2025-05-28,5860.0
2025-05-29,5982.0
2025-05-30,5898.0
2025-06-03,5854.0
2025-06-04,5872.0
2025-06-05,5828.0
2025-06-06,5832.0
2025-06-09,5794.0
2025-06-10,5792.0
2025-06-11,5802.0
2025-06-12,5808.0
2025-06-13,5972.0
2025-06-16,5980.0
2025-06-17,5982.0
2025-06-18,6118.0
2025-06-19,6182.0
2025-06-20,6184.0
2025-06-23,6208.0
2025-06-24,5958.0
2025-06-25,5960.0
2025-06-26,5930.0
2025-06-27,5934.0
2025-06-30,5936.0
2025-07-01,5932.0
2025-07-02,5940.0
2025-07-03,5894.0
2025-07-04,5870.0
2025-07-07,5872.0
2025-07-08,5866.0
2025-07-09,5880.0
2025-07-10,5916.0
2025-07-11,5878.0
2025-07-14,5920.0
2025-07-15,5870.0
2025-07-16,5886.0
2025-07-17,5902.0
2025-07-18,5930.0
2025-07-21,5984.0
2025-07-22,5996.0
2025-07-23,5986.0
2025-07-24,6042.0
2025-07-25,6130.0
2025-07-28,6000.0
2025-07-29,6006.0
2025-07-30,6014.0
2025-07-31,5974.0
2025-08-01,5918.0
2025-08-04,5892.0
2025-08-05,5874.0
2025-08-06,5898.0
2025-08-07,5872.0
2025-08-08,5856.0
2025-08-11,5890.0
2025-08-12,5914.0
2025-08-13,5876.0
2025-08-14,5820.0
2025-08-15,5848.0
2025-08-18,5856.0
2025-08-19,5840.0
2025-08-20,5868.0
2025-08-21,5940.0
2025-08-22,5932.0
2025-08-25,5898.0
2025-08-26,5856.0
2025-08-27,5836.0
2025-08-28,5812.0
2025-08-29,5836.0
2025-09-01,5818.0
2025-09-02,5808.0
2025-09-04,5752.0
2025-09-05,5694.0
2025-09-08,5784.0
2025-09-11,5700.0
2025-09-12,5840.0
