datetime,TA2105
2020-05-20,3958.0
2020-05-21,3958.0
2020-05-22,3862.0
2020-05-25,3900.0
2020-05-26,3900.0
2020-05-27,3874.0
2020-05-28,3904.0
2020-05-29,3858.0
2020-06-01,3936.0
2020-06-02,3932.0
2020-06-03,3972.0
2020-06-04,3904.0
2020-06-05,3936.0
2020-06-08,4008.0
2020-06-09,3994.0
2020-06-10,3972.0
2020-06-11,3940.0
2020-06-12,3930.0
2020-06-15,3888.0
2020-06-16,3944.0
2020-06-17,3964.0
2020-06-18,3958.0
2020-06-19,3974.0
2020-06-22,3966.0
2020-06-23,3956.0
2020-06-24,3956.0
2020-06-29,3880.0
2020-06-30,3908.0
2020-07-01,3904.0
2020-07-02,3918.0
2020-07-03,3924.0
2020-07-06,3946.0
2020-07-07,3890.0
2020-07-08,3900.0
2020-07-09,3896.0
2020-07-10,3844.0
2020-07-13,3878.0
2020-07-14,3878.0
2020-07-15,3880.0
2020-07-16,3862.0
2020-07-17,3838.0
2020-07-20,3810.0
2020-07-21,3834.0
2020-07-22,3832.0
2020-07-23,3850.0
2020-07-24,3850.0
2020-07-27,3832.0
2020-07-28,3850.0
2020-07-29,3854.0
2020-07-30,3864.0
2020-07-31,3874.0
2020-08-03,3832.0
2020-08-04,3846.0
2020-08-05,3884.0
2020-08-06,3888.0
2020-08-07,3928.0
2020-08-10,3932.0
2020-08-11,3920.0
2020-08-12,3896.0
2020-08-13,3872.0
2020-08-14,3874.0
2020-08-17,3882.0
2020-08-18,3874.0
2020-08-19,3860.0
2020-08-20,3838.0
2020-08-21,3834.0
2020-08-24,3846.0
2020-08-25,3860.0
2020-08-26,3866.0
2020-08-27,3852.0
2020-08-28,3816.0
2020-08-31,3856.0
2020-09-01,3864.0
2020-09-02,3908.0
2020-09-03,3842.0
2020-09-04,3832.0
2020-09-07,3832.0
2020-09-08,3840.0
2020-09-09,3740.0
2020-09-10,3754.0
2020-09-11,3718.0
2020-09-14,3740.0
2020-09-15,3756.0
2020-09-16,3760.0
2020-09-17,3732.0
2020-09-18,3754.0
2020-09-21,3706.0
2020-09-22,3690.0
2020-09-23,3632.0
2020-09-24,3650.0
2020-09-25,3638.0
2020-09-28,3574.0
2020-09-29,3576.0
2020-09-30,3536.0
2020-10-09,3564.0
2020-10-12,3590.0
2020-10-13,3590.0
2020-10-14,3630.0
2020-10-15,3674.0
2020-10-16,3696.0
2020-10-19,3698.0
2020-10-20,3704.0
2020-10-21,3732.0
2020-10-22,3688.0
2020-10-23,3648.0
2020-10-26,3600.0
2020-10-27,3586.0
2020-10-28,3552.0
