datetime,OI2005
2019-05-20,6910.0
2019-05-21,6929.0
2019-05-22,6920.0
2019-05-23,6836.0
2019-05-24,6870.0
2019-05-27,6910.0
2019-05-28,6920.0
2019-05-29,7014.0
2019-05-30,6979.0
2019-05-31,6977.0
2019-06-03,6934.0
2019-06-04,6950.0
2019-06-05,6937.0
2019-06-06,6944.0
2019-06-10,6949.0
2019-06-11,6939.0
2019-06-12,6935.0
2019-06-13,6965.0
2019-06-14,6980.0
2019-06-17,7010.0
2019-06-18,7014.0
2019-06-19,6963.0
2019-06-20,6960.0
2019-06-21,6927.0
2019-06-24,6912.0
2019-06-25,6915.0
2019-06-26,6881.0
2019-06-27,6928.0
2019-06-28,6918.0
2019-07-01,6876.0
2019-07-02,6855.0
2019-07-03,6855.0
2019-07-04,6890.0
2019-07-05,6874.0
2019-07-08,6892.0
2019-07-09,6851.0
2019-07-10,6851.0
2019-07-11,6858.0
2019-07-12,6845.0
2019-07-15,6960.0
2019-07-16,6944.0
2019-07-18,6983.0
2019-07-19,6953.0
2019-07-22,6951.0
2019-07-23,6972.0
2019-07-24,6976.0
2019-07-25,6962.0
2019-07-26,6948.0
2019-07-29,7014.0
2019-07-30,6992.0
2019-07-31,6981.0
2019-08-01,6968.0
2019-08-02,6964.0
2019-08-05,7021.0
2019-08-06,7048.0
2019-08-07,7052.0
2019-08-08,7099.0
2019-08-09,7185.0
2019-08-12,7230.0
2019-08-13,7325.0
2019-08-14,7258.0
2019-08-15,7262.0
2019-08-16,7291.0
2019-08-19,7288.0
2019-08-20,7323.0
2019-08-21,7295.0
2019-08-22,7380.0
2019-08-23,7368.0
2019-08-26,7467.0
2019-08-27,7366.0
2019-08-28,7436.0
2019-08-29,7402.0
2019-08-30,7402.0
2019-09-02,7425.0
2019-09-03,7395.0
2019-09-04,7439.0
2019-09-05,7398.0
2019-09-06,7334.0
2019-09-09,7325.0
2019-09-10,7347.0
2019-09-11,7326.0
2019-09-12,7313.0
2019-09-16,7342.0
2019-09-17,7344.0
2019-09-18,7315.0
2019-09-19,7318.0
2019-09-20,7296.0
2019-09-23,7340.0
2019-09-24,7209.0
2019-09-25,7201.0
2019-09-26,7221.0
2019-09-27,7122.0
2019-09-30,7089.0
2019-10-08,7130.0
2019-10-09,7219.0
2019-10-10,7250.0
2019-10-11,7277.0
2019-10-14,7153.0
2019-10-15,7131.0
2019-10-16,7164.0
2019-10-17,7168.0
2019-10-18,7143.0
2019-10-21,7171.0
2019-10-22,7139.0
2019-10-23,7176.0
2019-10-24,7181.0
2019-10-25,7210.0
2019-10-28,7252.0
2019-10-29,7241.0
2019-10-30,7314.0
2019-10-31,7278.0
2019-11-01,7334.0
2019-11-04,7376.0
2019-11-05,7427.0
2019-11-06,7287.0
2019-11-07,7304.0
2019-11-08,7299.0
2019-11-11,7405.0
