MACRO,品种数,交易数,胜率,PF,等权合计,单笔均收益,盈利品种
关闭,71,2413,0.25072523829258186,0.9107613499580591,-1.222502756545125,-0.0005066318924762225,25
600,71,2142,0.2549019607843137,0.9027038074407404,-1.249090473179025,-0.0005831421443412816,24
900,71,1970,0.2578680203045685,0.9119170696993704,-1.0413362060270877,-0.0005285970588969988,25
1200,71,1836,0.2625272331154684,0.9647193721479224,-0.372100943464967,-0.0002026693591857119,32
1500,71,1735,0.2639769452449568,0.985911397102598,-0.13943304084435748,-8.036486503997549e-05,31
