symbol,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars
A0,long,2005-04-22,2005-05-17,2987.0,2869.0,-0.03950451958486778,12
A0,short,2005-09-15,2005-10-14,2735.0,2885.0,-0.051993067590987874,16
A0,long,2006-01-04,2006-01-12,2793.0,2686.0,-0.038310060866451834,6
A0,long,2006-04-11,2006-05-18,3679.0,3559.0,-0.032617559119325956,20
A0,long,2006-06-06,2006-06-09,3710.0,3552.0,-0.04258760107816717,3
A0,short,2006-08-29,2006-10-19,3310.0,2942.0,0.12508497620666215,32
A0,short,2006-10-25,2006-11-09,2580.0,3060.0,-0.1568627450980392,10
A0,short,2006-11-21,2006-12-06,2842.0,2950.0,-0.0366101694915254,11
A0,long,2007-02-27,2007-04-23,2953.0,3350.0,0.1344395529969522,39
A0,long,2007-08-06,2007-11-22,3507.0,4430.0,0.2631879098944967,73
A0,long,2007-12-11,2008-01-24,4472.0,4569.0,0.021690518783542112,32
A0,long,2008-02-05,2008-03-18,4833.0,4777.0,-0.011587006000413846,25
A0,long,2008-05-22,2008-07-10,4550.0,4904.0,0.07780219780219788,35
A0,short,2008-09-09,2008-11-05,4008.0,3353.0,0.19534745004473608,36
A0,short,2008-12-03,2008-12-24,3134.0,3250.0,-0.03569230769230769,15
A0,long,2009-02-06,2009-02-20,3531.0,3411.0,-0.03398470688190314,10
A0,long,2009-03-16,2009-04-15,3513.0,3516.0,0.000853970964987294,21
A0,short,2009-09-28,2009-10-14,3564.0,3694.0,-0.03519220357336217,6
A0,long,2010-01-05,2010-01-14,4066.0,3919.0,-0.036153467781603554,7
A0,short,2010-03-15,2010-03-23,3800.0,3870.0,-0.018087855297157618,6
A0,long,2010-04-30,2010-05-11,3988.0,3928.0,-0.015045135406218657,6
A0,short,2010-07-06,2010-07-12,3808.0,3850.0,-0.010909090909090868,4
A0,long,2010-09-08,2010-09-13,4077.0,4030.0,-0.011528084375766467,3
A0,long,2010-09-20,2010-11-18,4146.0,4341.0,0.04703328509406668,36
A0,long,2011-01-18,2011-01-27,4601.0,4453.0,-0.032166920234731555,7
A0,long,2011-02-10,2011-02-25,4646.0,4414.0,-0.04993542832544129,11
A0,long,2011-08-01,2011-08-09,4706.0,4485.0,-0.046961325966850875,6
A0,long,2011-08-23,2011-09-15,4649.0,4624.0,-0.005377500537750102,16
A0,short,2011-11-21,2011-12-19,4346.0,4331.0,0.0034634033710458922,19
A0,long,2012-02-01,2012-05-04,4384.0,4619.0,0.05360401459854014,62
A0,long,2012-08-21,2012-09-19,4845.0,4848.0,0.0006191950464395912,21
A0,short,2012-12-25,2013-01-16,4755.0,4813.0,-0.012050696031581154,13
A0,long,2013-04-10,2013-04-23,4814.0,4794.0,-0.004154549231408344,9
A0,short,2013-05-13,2013-05-20,4767.0,4815.0,-0.009968847352024968,5
A0,short,2013-07-25,2013-08-20,4533.0,4453.0,0.017965416573096693,18
A0,short,2013-11-21,2013-12-11,4427.0,4473.0,-0.010283925776883529,14
A0,long,2014-05-14,2014-06-09,4510.0,4507.0,-0.000665188470066469,17
A0,long,2014-09-02,2014-09-11,4624.0,4533.0,-0.019679930795847733,6
A0,long,2014-09-17,2014-09-23,4640.0,4520.0,-0.025862068965517238,4
A0,short,2015-03-25,2015-04-16,4074.0,4092.0,-0.004398826979472137,15
A0,long,2015-05-22,2015-06-08,4447.0,4248.0,-0.044749269170227146,11
A0,short,2015-07-07,2015-07-14,4127.0,4269.0,-0.03326305926446471,5
A0,short,2015-07-20,2015-07-31,4147.0,4248.0,-0.0237758945386064,9
A0,short,2015-11-17,2015-12-07,3754.0,3799.0,-0.011845222426954516,14
