序号,方向,开仓日,平仓日,开仓价,平仓价,收益%,持仓K线,累计净值
1,空,2013-04-11,2013-05-07,1416.0,1386.0,2.16,15,1.0216
2,多,2013-06-06,2013-06-20,1429.0,1391.0,-2.66,7,0.9945
3,空,2013-07-09,2013-07-12,1375.0,1401.0,-1.86,3,0.976
4,空,2013-07-22,2013-08-06,1371.0,1369.0,0.15,11,0.9774
5,空,2013-11-18,2013-11-26,1296.0,1321.0,-1.89,5,0.9589
6,空,2014-05-06,2014-06-24,1224.0,1073.0,14.07,34,1.0939
7,空,2014-07-10,2014-07-23,997.0,1014.0,-1.68,9,1.0756
8,多,2015-03-23,2015-04-02,955.0,916.0,-4.08,8,1.0316
9,多,2015-05-29,2015-06-16,943.0,934.0,-0.95,12,1.0218
10,空,2015-09-24,2015-10-19,820.0,838.0,-2.15,11,0.9998
11,多,2015-11-25,2015-12-04,906.0,809.0,-10.71,7,0.8928
12,多,2016-02-04,2016-03-17,865.0,941.0,8.79,25,0.9712
13,多,2016-04-08,2016-04-28,966.0,993.0,2.8,14,0.9984
14,多,2016-06-27,2016-07-20,1051.0,1074.0,2.19,17,1.0202
15,多,2016-08-01,2016-08-31,1131.0,1164.0,2.92,22,1.05
16,多,2016-11-22,2016-12-02,1285.0,1221.0,-4.98,8,0.9977
17,多,2016-12-12,2016-12-21,1331.0,1277.0,-4.06,7,0.9572
18,空,2017-04-13,2017-04-24,1237.0,1308.0,-5.43,7,0.9053
19,多,2017-06-29,2017-07-28,1357.0,1395.0,2.8,21,0.9306
20,多,2017-08-18,2017-08-31,1443.0,1420.0,-1.59,9,0.9158
21,空,2017-10-26,2017-11-03,1333.0,1354.0,-1.55,6,0.9016
22,多,2017-12-22,2017-12-29,1512.0,1483.0,-1.92,5,0.8843
23,多,2018-01-09,2018-01-17,1507.0,1475.0,-2.12,6,0.8655
24,空,2018-05-11,2018-05-23,1351.0,1377.0,-1.89,8,0.8492
25,多,2018-07-12,2018-08-06,1487.0,1465.0,-1.48,17,0.8366
26,空,2018-10-16,2018-10-30,1318.0,1329.0,-0.83,10,0.8297
27,空,2018-11-09,2018-11-21,1284.0,1299.0,-1.15,8,0.8201
28,空,2018-12-13,2019-01-07,1283.0,1316.0,-2.51,15,0.7995
29,多,2019-06-11,2019-07-05,1463.0,1483.0,1.37,18,0.8105
30,多,2019-09-27,2019-10-31,1445.0,1485.0,2.77,19,0.8329
31,空,2020-03-04,2020-05-06,1392.0,1297.0,7.32,41,0.8939
32,多,2020-07-02,2020-08-18,1497.0,1858.0,24.11,33,1.1095
33,多,2020-12-07,2020-12-16,1945.0,1907.0,-1.95,7,1.0878
34,多,2021-03-29,2021-05-21,2125.0,2558.0,20.38,35,1.3095
35,多,2021-06-25,2021-07-27,2842.0,2797.0,-1.58,22,1.2887
36,空,2021-09-09,2021-10-12,2540.0,2361.0,7.58,16,1.3864
37,空,2021-10-22,2021-11-15,2062.0,1691.0,21.94,16,1.6906
38,空,2021-12-24,2022-01-10,1751.0,1894.0,-7.55,10,1.563
39,多,2022-04-19,2022-04-26,2081.0,1834.0,-11.87,5,1.3774
40,空,2022-06-15,2022-08-01,1689.0,1474.0,14.59,33,1.5784
41,空,2022-08-18,2022-09-07,1461.0,1465.0,-0.27,14,1.5741
42,多,2023-01-20,2023-02-01,1746.0,1598.0,-8.48,3,1.4406
43,多,2023-04-14,2023-05-04,1704.0,1738.0,2.0,11,1.4694
44,空,2023-06-26,2023-07-05,1492.0,1566.0,-4.73,7,1.3999
45,多,2023-12-29,2024-01-09,1913.0,1861.0,-2.72,6,1.3619
46,空,2024-02-02,2024-04-10,1765.0,1518.0,16.27,40,1.5835
47,空,2024-09-03,2024-09-26,1143.0,1143.0,0.0,15,1.5835
48,空,2025-04-10,2025-06-10,1169.0,995.0,17.49,39,1.8604
49,多,2025-08-14,2025-08-28,1220.0,1174.0,-3.77,10,1.7902
50,空,2025-11-10,2025-11-28,1069.0,1053.0,1.52,14,1.8174
51,空,2025-12-10,2025-12-18,964.0,1062.0,-9.23,6,1.6497
52,空,2026-06-05,2026-06-18,1010.0,978.0,3.27,9,1.7037
