MACD,LON,MA,离场根,IS夏普均值,OOS夏普均值,IS夏普中位,OOS夏普中位,OOS盈利品种%
"(8, 17, 9)","(13, 34)",10,4,0.113,-0.084,0.084,-0.112,43.0
"(8, 17, 9)","(13, 34)",20,2,0.094,-0.107,0.068,-0.145,41.0
"(8, 17, 9)","(13, 34)",20,3,0.079,-0.099,0.072,-0.125,43.0
"(8, 17, 9)","(13, 34)",20,4,0.089,-0.112,0.092,-0.087,45.0
"(8, 17, 9)","(13, 34)",30,2,0.091,-0.104,0.094,-0.039,43.0
"(8, 17, 9)","(13, 34)",30,3,0.085,-0.091,0.102,-0.076,43.0
"(8, 17, 9)","(13, 34)",30,4,0.076,-0.066,0.097,-0.023,48.0
"(8, 17, 9)","(13, 34)",40,2,0.093,-0.097,0.124,-0.075,43.0
"(8, 17, 9)","(13, 34)",40,3,0.075,-0.082,0.102,-0.02,50.0
"(8, 17, 9)","(13, 34)",40,4,0.068,-0.046,0.099,-0.016,48.0
"(5, 34, 5)","(10, 20)",10,2,0.06,-0.167,0.05,-0.233,41.0
"(5, 34, 5)","(10, 20)",10,3,0.059,-0.101,0.071,-0.168,41.0
"(5, 34, 5)","(10, 20)",10,4,0.071,-0.111,0.045,-0.075,45.0
"(5, 34, 5)","(10, 20)",20,2,0.062,-0.136,0.056,-0.088,45.0
"(5, 34, 5)","(10, 20)",20,3,0.046,-0.108,0.026,-0.021,48.0
"(5, 34, 5)","(10, 20)",20,4,0.05,-0.113,0.011,-0.003,50.0
"(5, 34, 5)","(10, 20)",30,2,0.074,-0.118,0.089,-0.039,48.0
"(5, 34, 5)","(10, 20)",30,3,0.08,-0.111,0.075,0.03,52.0
"(5, 34, 5)","(10, 20)",30,4,0.068,-0.052,0.056,0.027,52.0
"(5, 34, 5)","(10, 20)",40,2,0.077,-0.111,0.056,0.031,55.0
"(5, 34, 5)","(10, 20)",40,3,0.061,-0.083,0.06,-0.019,50.0
"(5, 34, 5)","(10, 20)",40,4,0.062,-0.032,0.052,-0.015,48.0
"(5, 34, 5)","(5, 15)",10,2,0.054,-0.168,0.057,-0.243,41.0
"(5, 34, 5)","(5, 15)",10,3,0.041,-0.093,0.063,-0.181,45.0
"(5, 34, 5)","(5, 15)",10,4,0.057,-0.103,0.034,-0.112,41.0
"(5, 34, 5)","(5, 15)",20,2,0.054,-0.164,0.062,-0.201,41.0
"(5, 34, 5)","(5, 15)",20,3,0.039,-0.125,0.044,-0.161,45.0
"(5, 34, 5)","(5, 15)",20,4,0.049,-0.123,0.032,-0.054,45.0
"(5, 34, 5)","(5, 15)",30,2,0.074,-0.142,0.055,-0.169,43.0
"(5, 34, 5)","(5, 15)",30,3,0.072,-0.129,0.051,-0.112,45.0
"(5, 34, 5)","(5, 15)",30,4,0.067,-0.054,0.056,-0.013,50.0
"(5, 34, 5)","(5, 15)",40,2,0.073,-0.119,0.053,-0.116,41.0
"(5, 34, 5)","(5, 15)",40,3,0.055,-0.076,0.035,-0.107,41.0
"(5, 34, 5)","(5, 15)",40,4,0.051,-0.026,0.046,-0.113,43.0
"(5, 34, 5)","(13, 34)",10,2,0.05,-0.139,0.022,-0.118,39.0
"(5, 34, 5)","(13, 34)",10,3,0.049,-0.089,0.042,-0.062,41.0
"(5, 34, 5)","(13, 34)",10,4,0.066,-0.107,0.031,-0.021,48.0
"(5, 34, 5)","(13, 34)",20,2,0.067,-0.137,0.07,-0.036,48.0
"(5, 34, 5)","(13, 34)",20,3,0.044,-0.118,0.023,0.034,52.0
"(5, 34, 5)","(13, 34)",20,4,0.049,-0.128,0.005,0.028,52.0
